"Player","DraftAge","Position","season","mp_per_g","fg_per_g","fga_per_g","fg2_per_g","fg2a_per_g","fg3_per_g","fg3a_per_g","ft_per_g","fta_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","tov_per_g","pf_per_g","pts_per_g","fg_per_min","fga_per_min","fg2_per_min","fg2a_per_min","fg3_per_min","fg3a_per_min","ft_per_min","fta_per_min","trb_per_min","ast_per_min","stl_per_min","blk_per_min","tov_per_min","pf_per_min","pts_per_min","fg_per_poss","fga_per_poss","fg_pct","fg2_per_poss","fg2a_per_poss","fg2_pct","fg3_per_poss","fg3a_per_poss","fg3_pct","ft_per_poss","fta_per_poss","ft_pct","trb_per_poss","ast_per_poss","stl_per_poss","blk_per_poss","tov_per_poss","pf_per_poss","pts_per_poss","off_rtg","def_rtg","mp","per","ts_pct","efg_pct","fg3a_per_fga_pct","fta_per_fga_pct","pprod","orb_pct","drb_pct","trb_pct","ast_pct","stl_pct","blk_pct","tov_pct","usg_pct","ows","dws","ws","ws_per_40","obpm","dbpm","bpm","games","school_link","conf_link","player_stats$link[i]","Year","orb_per_g","drb_per_g","fg_per_mp","fga_per_mp","fg3_per_mp","fg3a_per_mp","fg2_per_mp","fg2a_per_mp","ft_per_mp","fta_per_mp","orb_per_mp","drb_per_mp","trb_per_mp","ast_per_mp","stl_per_mp","blk_per_mp","tov_per_mp","pf_per_mp","pts_per_mp","g"
"Ed Horton",21.5453196347032,"Power Forward","1988-89",31.9,7.6,13.7,NA,NA,NA,NA,3.1,5.5,10.6,NA,0.9,0.4,3.8,3.1,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.552,NA,NA,NA,NA,NA,NA,NA,NA,0.569,NA,NA,NA,NA,NA,NA,NA,NA,NA,1054,NA,0.56,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,19.1,NA,NA,NA,NA,NA,NA,NA,NA,33,"http://www.sports-reference.com/cbb/schools/iowa/1989.html","http://www.sports-reference.com/cbb/conferences/big-ten/1989.html","http://www.basketball-reference.com/players/h/hortoed01.html",2089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mike Morrison",21.2082191780822,"Shooting Guard","1985-86",13.2,2.3,5.2,NA,NA,NA,NA,0.6,1,1.3,NA,0.1,0.1,1.1,1.6,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,0.591,NA,NA,NA,NA,NA,NA,NA,NA,NA,277,NA,0.465,NA,NA,0.202,NA,NA,NA,NA,NA,NA,NA,16.7,NA,NA,NA,NA,NA,NA,NA,NA,21,"http://www.sports-reference.com/cbb/schools/loyola-md/1986.html","http://www.sports-reference.com/cbb/conferences/ecac-metro/1986.html","http://www.basketball-reference.com/players/m/morrimi01.html",2086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mike Morrison",21.2082191780822,"Shooting Guard","1986-87",20.7,4.3,10.8,NA,NA,NA,NA,1.9,2.9,2.9,NA,0.8,0.2,1.1,1.2,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.397,NA,NA,NA,NA,NA,NA,NA,NA,0.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,539,NA,0.486,NA,NA,0.266,NA,NA,NA,NA,NA,NA,NA,8.1,NA,NA,NA,NA,NA,NA,NA,NA,26,"http://www.sports-reference.com/cbb/schools/loyola-md/1987.html","http://www.sports-reference.com/cbb/conferences/ecac-metro/1987.html","http://www.basketball-reference.com/players/m/morrimi01.html",2087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mike Morrison",21.2082191780822,"Shooting Guard","1987-88",34.6,8,17.4,NA,NA,NA,NA,4.8,6.2,3.7,NA,1.4,0.4,3.9,2.9,22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.458,NA,NA,NA,NA,NA,NA,NA,NA,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,1039,NA,0.545,NA,NA,0.358,NA,NA,NA,NA,NA,NA,NA,16.2,NA,NA,NA,NA,NA,NA,NA,NA,30,"http://www.sports-reference.com/cbb/schools/loyola-md/1988.html","http://www.sports-reference.com/cbb/conferences/ecac-metro/1988.html","http://www.basketball-reference.com/players/m/morrimi01.html",2088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mike Morrison",21.2082191780822,"Shooting Guard","1988-89",31.4,8.1,16.3,NA,NA,NA,NA,4.5,6,5.4,NA,1.3,0.5,2.2,2.5,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.496,NA,NA,NA,NA,NA,NA,NA,NA,0.746,NA,NA,NA,NA,NA,NA,NA,NA,NA,878,NA,0.57,NA,NA,0.371,NA,NA,NA,NA,NA,NA,NA,10.2,NA,NA,NA,NA,NA,NA,NA,NA,28,"http://www.sports-reference.com/cbb/schools/loyola-md/1989.html","http://www.sports-reference.com/cbb/conferences/northeast/1989.html","http://www.basketball-reference.com/players/m/morrimi01.html",2089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eric Leckner",22.013698630137,"Center","1984-85",20.7,3.4,5.8,NA,NA,NA,NA,1.7,2.7,3.9,0.2,0.1,1,NA,3.4,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.583,NA,NA,NA,NA,NA,NA,NA,NA,0.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,NA,0.595,NA,NA,0.464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,"http://www.sports-reference.com/cbb/schools/wyoming/1985.html","http://www.sports-reference.com/cbb/conferences/wac/1985.html","http://www.basketball-reference.com/players/l/leckner01.html",2085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eric Leckner",22.013698630137,"Center","1985-86",30.9,6.3,10.9,NA,NA,NA,NA,3.1,5.1,5.8,0.5,0.4,1.3,NA,3.6,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.582,NA,NA,NA,NA,NA,NA,NA,NA,0.612,NA,NA,NA,NA,NA,NA,NA,NA,NA,1113,NA,0.593,NA,NA,0.467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,"http://www.sports-reference.com/cbb/schools/wyoming/1986.html","http://www.sports-reference.com/cbb/conferences/wac/1986.html","http://www.basketball-reference.com/players/l/leckner01.html",2086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eric Leckner",22.013698630137,"Center","1986-87",33,7.2,11.5,7.2,NA,0,NA,4.2,5.9,7.2,0.5,0.4,1.4,2.1,3.5,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.631,NA,NA,NA,NA,NA,NA,NA,NA,0.706,NA,NA,NA,NA,NA,NA,NA,NA,NA,1123,NA,0.653,0.631,NA,0.515,NA,NA,NA,NA,NA,NA,NA,12.9,NA,NA,NA,NA,NA,NA,NA,NA,34,"http://www.sports-reference.com/cbb/schools/wyoming/1987.html","http://www.sports-reference.com/cbb/conferences/wac/1987.html","http://www.basketball-reference.com/players/l/leckner01.html",2087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eric Leckner",22.013698630137,"Center","1987-88",30.4,5.7,8.8,5.7,NA,0,NA,4.1,5.4,6.6,0.4,0.9,1.3,NA,3,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.644,NA,NA,NA,NA,NA,NA,NA,NA,0.756,NA,NA,NA,NA,NA,NA,NA,NA,NA,972,NA,0.678,0.644,NA,0.612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"http://www.sports-reference.com/cbb/schools/wyoming/1988.html","http://www.sports-reference.com/cbb/conferences/wac/1988.html","http://www.basketball-reference.com/players/l/leckner01.html",2088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tito Horford",22.3670091324201,"Center","1986-87",32.1,5.5,11.5,5.5,NA,0,NA,3.4,6.1,9.6,NA,0.4,1.8,3.3,2.2,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477,NA,NA,NA,NA,NA,NA,NA,NA,0.553,NA,NA,NA,NA,NA,NA,NA,NA,NA,803,NA,0.498,0.477,NA,0.53,NA,NA,NA,NA,NA,NA,NA,18.6,NA,NA,NA,NA,NA,NA,NA,NA,25,"http://www.sports-reference.com/cbb/schools/miami-fl/1987.html","http://www.sports-reference.com/cbb/conferences/independent/1987.html","http://www.basketball-reference.com/players/h/horfoti01.html",2087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tito Horford",22.3670091324201,"Center","1987-88",32.1,5.9,10.9,5.9,NA,0,NA,2.4,4.2,9,1.1,0.4,2.7,3.5,2.6,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,NA,NA,NA,NA,NA,NA,NA,NA,0.579,NA,NA,NA,NA,NA,NA,NA,NA,NA,963,NA,0.551,0.54,NA,0.387,NA,NA,NA,NA,NA,NA,NA,21.6,NA,NA,NA,NA,NA,NA,NA,NA,30,"http://www.sports-reference.com/cbb/schools/miami-fl/1988.html","http://www.sports-reference.com/cbb/conferences/independent/1988.html","http://www.basketball-reference.com/players/h/horfoti01.html",2088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthony Mason",21.537100456621,"Power Forward and Center and Small Forward","1984-85",28.6,3.6,7.6,NA,NA,NA,NA,2.8,4.4,5.3,1.6,0.7,0.1,2.5,2.6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.469,NA,NA,NA,NA,NA,NA,NA,NA,0.648,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,NA,0.515,NA,NA,0.573,NA,NA,NA,NA,NA,NA,NA,20.5,NA,NA,NA,NA,NA,NA,NA,NA,28,"http://www.sports-reference.com/cbb/schools/tennessee-state/1985.html","http://www.sports-reference.com/cbb/conferences/independent/1985.html","http://www.basketball-reference.com/players/m/masonan01.html",2085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
