"Player","DraftAge","Position","season","mp_per_g","fg_per_g","fga_per_g","fg2_per_g","fg2a_per_g","fg3_per_g","fg3a_per_g","ft_per_g","fta_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","tov_per_g","pf_per_g","pts_per_g","fg_per_min","fga_per_min","fg2_per_min","fg2a_per_min","fg3_per_min","fg3a_per_min","ft_per_min","fta_per_min","trb_per_min","ast_per_min","stl_per_min","blk_per_min","tov_per_min","pf_per_min","pts_per_min","fg_per_poss","fga_per_poss","fg_pct","fg2_per_poss","fg2a_per_poss","fg2_pct","fg3_per_poss","fg3a_per_poss","fg3_pct","ft_per_poss","fta_per_poss","ft_pct","trb_per_poss","ast_per_poss","stl_per_poss","blk_per_poss","tov_per_poss","pf_per_poss","pts_per_poss","off_rtg","def_rtg","mp","per","ts_pct","efg_pct","fg3a_per_fga_pct","fta_per_fga_pct","pprod","orb_pct","drb_pct","trb_pct","ast_pct","stl_pct","blk_pct","tov_pct","usg_pct","ows","dws","ws","ws_per_40","obpm","dbpm","bpm","games","school_link","conf_link","player_stats$link[i]","Year","orb_per_g","drb_per_g","fg_per_mp","fga_per_mp","fg3_per_mp","fg3a_per_mp","fg2_per_mp","fg2a_per_mp","ft_per_mp","fta_per_mp","orb_per_mp","drb_per_mp","trb_per_mp","ast_per_mp","stl_per_mp","blk_per_mp","tov_per_mp","pf_per_mp","pts_per_mp","g"
"Jakob Poeltl",20.372602739726,"Center","2014-15",23.3,3.8,5.5,3.8,5.5,0,0,1.6,3.6,6.8,0.7,0.4,1.9,1.6,2.4,9.1,5.85,9.5,5.85,9.4,0,0.1,2.52,6.3,10.44,1.08,0.54,2.88,2.52,3.69,15.7,10.3,15.2,0.681,10.3,15.1,0.684,0,0.1,0,4.4,10,0.444,18.6,1.9,1,5.1,4.4,6.6,25.1,115.2,88,792,24.7,0.63,0.681,0.005,0.66,305,16,20,18.2,6.6,1,8.6,18.2,21.2,2.1,2.1,4.2,0.21,3.5,7.2,10.7,34,"http://www.sports-reference.com/cbb/schools/utah/2015.html","http://www.sports-reference.com/cbb/conferences/pac-12/2015.html","http://www.basketball-reference.com/players/p/poeltja01.html",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jakob Poeltl",20.372602739726,"Center","2015-16",30.4,6.3,9.8,6.3,9.8,0,0,4.6,6.6,9.1,1.9,0.6,1.6,2.1,2.3,17.2,7.47,12.9,7.47,12.9,0,0,5.4,8.7,10.8,2.34,0.72,1.8,2.43,2.7,22.7,12.3,19.1,0.646,12.3,19.1,0.646,0,0,NA,8.9,12.8,0.692,17.7,3.8,1.1,3,4,4.5,33.5,128.8,98.5,1093,31.1,0.666,0.646,0,0.671,597,11.9,22.1,17.4,13.9,1.1,5,13.7,25.7,4.9,1.9,6.8,0.251,6.8,4.4,11.2,36,"http://www.sports-reference.com/cbb/schools/utah/2016.html","http://www.sports-reference.com/cbb/conferences/pac-12/2016.html","http://www.basketball-reference.com/players/p/poeltja01.html",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malachi Richardson",20.4053652968037,"Shooting Guard","2015-16",34.4,4.1,11.1,2,5.1,2.1,6.1,3.1,4.2,4.3,2.1,1.1,0.3,2.1,2.5,13.4,4.32,12.9,2.07,5.9,2.25,7,3.24,4.9,4.5,2.16,1.17,0.27,2.25,2.61,15.6,7.4,19.9,0.37,3.5,9,0.39,3.8,10.8,0.353,5.5,7.6,0.72,7.6,3.7,2,0.5,3.8,4.4,24,102.6,102.3,1272,13.8,0.511,0.466,0.545,0.382,459,1.7,12.1,6.9,12.8,2,0.9,14,23.1,1.5,1.8,3.3,0.104,1.5,1.5,3,37,"http://www.sports-reference.com/cbb/schools/syracuse/2016.html","http://www.sports-reference.com/cbb/conferences/acc/2016.html","http://www.basketball-reference.com/players/r/richama01.html",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deyonta Davis",19.5042237442922,"Center","2015-16",18.6,3.4,5.7,3.4,5.7,0,0,0.7,1.1,5.5,0.7,0.3,1.8,0.9,2.3,7.5,6.57,12.2,6.57,12.2,0,0,1.26,2.3,10.62,1.44,0.54,3.51,1.62,4.41,16.1,10.9,18.3,0.598,10.9,18.3,0.598,0,0,NA,2.1,3.5,0.605,17.6,2.4,0.8,5.9,2.8,7.4,24,121.4,90.9,650,23.9,0.601,0.598,0,0.191,242,13.5,19,16.5,7.5,0.8,10.2,12.1,19.2,1.7,1.6,3.3,0.204,3.2,7.5,10.8,35,"http://www.sports-reference.com/cbb/schools/michigan-state/2016.html","http://www.sports-reference.com/cbb/conferences/big-ten/2016.html","http://www.basketball-reference.com/players/d/davisde01.html",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Ulis",20.4053652968037,"Point Guard","2014-15",23.8,1.8,4.5,0.9,2.4,0.9,2.1,1.1,1.4,1.8,3.6,1,0.1,1,1.5,5.6,2.7,7.5,1.35,4,1.35,3.5,1.71,2.4,2.7,5.49,1.53,0.09,1.53,2.25,9.5,4.8,11.7,0.406,2.4,6.3,0.386,2.3,5.5,0.429,3,3.7,0.808,4.8,9.6,2.6,0.1,2.7,4,14.9,123.3,90.3,882,15.6,0.551,0.506,0.467,0.315,251,2.3,6.3,4.4,27.2,2.6,0.2,16.7,13.5,2.1,2.1,4.2,0.19,5.3,3.7,9,37,"http://www.sports-reference.com/cbb/schools/kentucky/2015.html","http://www.sports-reference.com/cbb/conferences/sec/2015.html","http://www.basketball-reference.com/players/u/ulisty01.html",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Ulis",20.4053652968037,"Point Guard","2015-16",36.8,5.5,12.6,3.9,8.1,1.6,4.6,4.8,5.6,3,7,1.5,0.1,2,1.8,17.3,5.4,13.7,3.87,8.8,1.53,5,4.68,6.1,2.97,6.84,1.44,0.09,1.89,1.8,18.8,8.7,20.1,0.434,6.2,12.8,0.486,2.5,7.3,0.344,7.6,8.9,0.856,4.8,11.2,2.3,0.2,3.1,2.9,27.6,128.8,103.4,1288,23.9,0.567,0.497,0.362,0.441,666,1.7,7.1,4.6,34.3,2.3,0.3,11.4,23.2,5.4,1.7,7.1,0.221,8.5,1,9.6,35,"http://www.sports-reference.com/cbb/schools/kentucky/2016.html","http://www.sports-reference.com/cbb/conferences/sec/2016.html","http://www.basketball-reference.com/players/u/ulisty01.html",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isaiah Whitehead",21.2327625570776,"Point Guard","2014-15",27.8,4.1,11.3,2.5,6.5,1.6,4.7,2.1,2.9,3.9,3.5,1.4,0.6,3.3,2.4,12,5.31,16.2,3.24,9.4,2.16,6.8,2.79,4.1,5.04,4.59,1.8,0.81,4.32,3.15,17.3,9,24.6,0.367,5.4,14.3,0.382,3.6,10.3,0.346,4.7,6.2,0.746,8.4,7.7,3,1.4,7.2,5.2,26.2,93.2,101.3,612,15.7,0.477,0.44,0.419,0.254,272,4,11.8,7.8,29,3,2.4,20.8,29.3,0.3,0.8,1.1,0.073,1.8,2.4,4.2,22,"http://www.sports-reference.com/cbb/schools/seton-hall/2015.html","http://www.sports-reference.com/cbb/conferences/big-east/2015.html","http://www.basketball-reference.com/players/w/whiteis01.html",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isaiah Whitehead",21.2327625570776,"Point Guard","2015-16",32.3,5.7,15.1,3.3,8.5,2.4,6.5,4.4,5.8,3.6,5.1,1.2,1.4,3.5,2.3,18.2,6.39,18.7,3.69,10.6,2.7,8.1,4.86,7.1,3.96,5.67,1.35,1.62,3.87,2.52,22.5,10,26.4,0.379,5.8,14.9,0.39,4.2,11.4,0.365,7.7,10.1,0.76,6.3,8.9,2.1,2.5,6.1,4,31.8,104.4,97.4,1098,20.5,0.511,0.458,0.434,0.383,624,1.8,9.7,5.9,33,2.1,4.5,16.4,31.6,2.1,2.1,4.2,0.152,4.3,3.4,7.7,34,"http://www.sports-reference.com/cbb/schools/seton-hall/2016.html","http://www.sports-reference.com/cbb/conferences/big-east/2016.html","http://www.basketball-reference.com/players/w/whiteis01.html",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daniel Hamilton",20.186301369863,"Guard/Forward","2014-15",31.4,4,10.5,2.7,6.6,1.3,3.8,1.6,2.4,7.6,3.7,0.9,0.4,2.3,2.5,10.9,4.59,13.3,3.06,8.4,1.53,4.9,1.8,3.1,8.73,4.23,1.08,0.45,2.61,2.79,13.8,8.2,21.5,0.38,5.5,13.6,0.401,2.7,7.9,0.343,3.3,4.9,0.667,15.7,7.5,1.9,0.8,4.8,5.1,22.3,97.5,92.7,1100,16.9,0.468,0.443,0.366,0.23,411,4.3,24.1,14.7,26.3,1.9,1.3,16.6,24.8,1,2.4,3.4,0.124,1.3,3.3,4.6,35,"http://www.sports-reference.com/cbb/schools/connecticut/2015.html","http://www.sports-reference.com/cbb/conferences/aac/2015.html","http://www.basketball-reference.com/players/h/hamilda02.html",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daniel Hamilton",20.186301369863,"Guard/Forward","2015-16",31.9,4.4,11.4,3.1,7.5,1.3,3.9,2.4,2.8,8.9,4.7,1.1,0.4,2.4,1.8,12.5,4.95,14.3,3.51,9.4,1.44,5,2.7,3.5,10.08,5.31,1.17,0.45,2.7,2.07,15.7,8.4,21.6,0.387,5.9,14.2,0.416,2.5,7.5,0.331,4.5,5.3,0.86,16.9,8.9,2,0.8,4.5,3.5,23.7,103.9,89.7,1147,20,0.492,0.444,0.345,0.243,501,3.6,27,16.1,29.2,2,1.5,15.6,25.1,1.7,3,4.7,0.165,2.5,5.7,8.1,36,"http://www.sports-reference.com/cbb/schools/connecticut/2016.html","http://www.sports-reference.com/cbb/conferences/aac/2016.html","http://www.basketball-reference.com/players/h/hamilda02.html",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Willie Cauley-Stein",21.213698630137,"Center","2012-13",23.6,3.6,5.8,3.6,5.8,0,0,1.1,3,6.2,0.9,0.8,2.1,1.7,2.4,8.3,5.49,9.9,5.49,9.9,0,0,1.71,5,9.45,1.44,1.26,3.15,2.52,3.69,14.2,9.2,14.8,0.621,9.2,14.8,0.621,0,0,NA,2.8,7.5,0.372,15.7,2.4,2.1,5.3,4.2,6.1,21.2,106.7,91.6,683,22.1,0.577,0.621,0,0.509,239,12,18.5,15.4,8,2.1,8.4,18.6,19.3,1.2,1.4,2.6,0.155,1.9,6.1,8.1,29,"http://www.sports-reference.com/cbb/schools/kentucky/2013.html","http://www.sports-reference.com/cbb/conferences/sec/2013.html","http://www.basketball-reference.com/players/c/caulewi01.html",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Willie Cauley-Stein",21.213698630137,"Center","2013-14",23.8,2.9,4.8,2.9,4.8,0,0,1.1,2.2,6.1,0.7,1.2,2.9,0.8,2.6,6.8,4.32,8.1,4.32,8.1,0,0,1.62,3.8,9.18,0.99,1.8,4.32,1.26,4.05,11.5,7.3,12.3,0.596,7.3,12.3,0.596,0,0,NA,2.8,5.7,0.482,15.5,1.7,3,7.3,2.1,6.8,17.4,122.8,91.5,880,23.6,0.58,0.596,0,0.466,260,12.6,16.3,14.5,5.7,3,12.3,12.5,14.1,1.9,2.2,4.1,0.185,4.1,10.8,14.9,37,"http://www.sports-reference.com/cbb/schools/kentucky/2014.html","http://www.sports-reference.com/cbb/conferences/sec/2014.html","http://www.basketball-reference.com/players/c/caulewi01.html",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Willie Cauley-Stein",21.213698630137,"Center","2014-15",25.9,3.5,6.1,3.5,6.1,0,0,2,3.3,6.4,1,1.2,1.7,1.2,2,8.9,4.77,9.3,4.77,9.3,0,0,2.79,5.1,8.91,1.35,1.71,2.34,1.71,2.79,13.8,8.4,14.6,0.572,8.4,14.6,0.572,0,0,NA,4.9,7.9,0.617,15.6,2.4,2.9,4.2,3,4.8,21.6,119.8,80,1012,23.8,0.588,0.572,0,0.542,344,11.1,17.3,14.5,7.4,2.9,7.1,13.9,17.8,2.6,3.4,6,0.239,4.7,10,14.7,39,"http://www.sports-reference.com/cbb/schools/kentucky/2015.html","http://www.sports-reference.com/cbb/conferences/sec/2015.html","http://www.basketball-reference.com/players/c/caulewi01.html",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darrun Hilliard",22.1342465753425,"Shooting Guard","2011-12",18.1,1.6,4.3,0.9,1.9,0.7,2.5,0.8,1,2.4,1,0.4,0.3,0.8,1.8,4.8,3.24,9.6,1.8,4.1,1.44,5.5,1.62,2.3,4.86,1.89,0.9,0.54,1.53,3.51,10.5,5.3,14.2,0.373,2.9,6.1,0.481,2.4,8.1,0.292,2.6,3.4,0.767,8,3.2,1.5,0.9,2.5,5.8,15.6,104.7,106.6,524,10.9,0.492,0.456,0.571,0.238,133,2.7,13.6,7.9,10.8,1.5,1.6,13.6,15.3,0.6,0.4,1,0.073,1.1,1.2,2.3,29,"http://www.sports-reference.com/cbb/schools/villanova/2012.html","http://www.sports-reference.com/cbb/conferences/big-east/2012.html","http://www.basketball-reference.com/players/h/hillida01.html",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darrun Hilliard",22.1342465753425,"Shooting Guard","2012-13",29.9,3.4,8.5,2.3,4.9,1.1,3.6,3.3,4.5,2.8,1.6,1.6,0.3,1.9,2.3,11.4,4.14,11.4,2.79,6.5,1.35,4.9,4.05,6,3.42,1.98,1.98,0.36,2.34,2.7,15.2,6.8,17,0.403,4.6,9.7,0.47,2.3,7.2,0.315,6.6,8.9,0.739,5.6,3.3,3.3,0.6,3.9,4.5,22.6,103.5,96.8,1015,15.2,0.532,0.471,0.428,0.528,354,1.4,10.6,5.8,13.4,3.3,1.2,15.4,21.5,1.5,1.6,3.1,0.124,2.4,2.5,5,34,"http://www.sports-reference.com/cbb/schools/villanova/2013.html","http://www.sports-reference.com/cbb/conferences/big-east/2013.html","http://www.basketball-reference.com/players/h/hillida01.html",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darrun Hilliard",22.1342465753425,"Shooting Guard","2013-14",29.1,4.6,9.5,2.6,4.5,2.1,5,3,4.2,3.6,2.6,1.3,0.5,2.2,2,14.3,5.67,13,3.15,6.2,2.52,6.8,3.69,5.7,4.5,3.24,1.62,0.63,2.79,2.43,19.6,9.4,19.3,0.486,5.2,9.2,0.565,4.2,10.1,0.414,6.1,8.5,0.718,7.4,5.4,2.6,1,4.5,4.1,29,117.4,98.3,991,21.3,0.622,0.594,0.523,0.44,451,3.6,10.6,7.2,19.3,2.6,1.9,16.3,24,2.7,1.9,4.6,0.185,6.1,3.4,9.4,34,"http://www.sports-reference.com/cbb/schools/villanova/2014.html","http://www.sports-reference.com/cbb/conferences/big-east/2014.html","http://www.basketball-reference.com/players/h/hillida01.html",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darrun Hilliard",22.1342465753425,"Shooting Guard","2014-15",28.8,4.9,11,2.6,5.2,2.3,5.8,2.3,2.9,3.1,2.1,1.8,0.3,1.2,2.2,14.3,6.12,15.3,3.24,7.2,2.79,8.1,2.97,4.1,3.87,2.61,2.25,0.45,1.53,2.79,19.9,10.4,23.6,0.44,5.6,11.1,0.5,4.8,12.5,0.387,5,6.3,0.796,6.7,4.5,3.8,0.7,2.6,4.8,30.6,119.5,92.8,1007,23.1,0.576,0.543,0.528,0.267,444,2,10.7,6.5,15.9,3.8,1.3,8.8,25.2,3.3,2.2,5.5,0.218,6.7,3.5,10.2,35,"http://www.sports-reference.com/cbb/schools/villanova/2015.html","http://www.sports-reference.com/cbb/conferences/big-east/2015.html","http://www.basketball-reference.com/players/h/hillida01.html",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Harvey",21.1260273972603,"Guard","2012-13",14,2.8,5.3,1.7,2.8,1.1,2.5,0.5,1.1,2.3,1.5,0.7,0.1,1,1.5,7.1,7.11,15.1,4.23,7.9,2.79,7.2,1.26,3.1,5.85,3.78,1.8,0.36,2.52,3.78,20.2,11.5,22,0.523,6.9,11.5,0.603,4.6,10.5,0.434,2,4.6,0.435,9.5,6.1,3,0.6,4.2,6.1,29.5,113.3,105.7,295,23.6,0.611,0.626,0.477,0.207,134,2.9,15.5,9,26.3,3,0.9,14.7,24.4,0.8,0.2,1.1,0.146,4.2,-2.2,2,21,"http://www.sports-reference.com/cbb/schools/eastern-washington/2013.html","http://www.sports-reference.com/cbb/conferences/big-sky/2013.html","http://www.basketball-reference.com/players/h/harvety01.html",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Harvey",21.1260273972603,"Guard","2013-14",37.4,6.6,15,3.1,6.9,3.5,8.1,5,5.6,4.2,2.7,1.1,0.3,2.1,2.3,21.8,6.39,16.1,3.06,7.4,3.42,8.7,4.86,6,4.05,2.61,1.08,0.27,2.07,2.25,23.4,10.2,23.1,0.443,4.8,10.6,0.455,5.4,12.5,0.433,7.7,8.6,0.897,6.4,4.2,1.7,0.4,3.3,3.5,33.6,124,110.5,1158,23.2,0.618,0.56,0.542,0.374,612,2.1,10.2,6.2,15.3,1.7,0.8,10.8,26.4,4.3,0.9,5.2,0.178,5.8,-3.3,2.5,31,"http://www.sports-reference.com/cbb/schools/eastern-washington/2014.html","http://www.sports-reference.com/cbb/conferences/big-sky/2014.html","http://www.basketball-reference.com/players/h/harvety01.html",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Harvey",21.1260273972603,"Guard","2014-15",36.9,7.2,15.3,3.2,6,4,9.3,4.7,5.5,3.6,2.6,1.1,0.1,2,1.9,23.1,7.02,16.6,3.15,6.5,3.87,10.1,4.59,6,3.51,2.52,1.08,0.09,1.98,1.8,25,11.4,24.3,0.469,5.1,9.6,0.528,6.3,14.7,0.431,7.4,8.7,0.852,5.7,4.1,1.8,0.2,3.2,3,36.6,129.1,112.2,1182,26.9,0.643,0.6,0.606,0.359,664,2,9.6,5.8,13.9,1.8,0.4,10,27.5,5.7,0.4,6.1,0.207,7.6,-4.7,2.9,32,"http://www.sports-reference.com/cbb/schools/eastern-washington/2015.html","http://www.sports-reference.com/cbb/conferences/big-sky/2015.html","http://www.basketball-reference.com/players/h/harvety01.html",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aaron Gordon",18.2931506849315,"Small Forward and Power Forward","2013-14",31.2,5,10.1,4.6,8.9,0.4,1.2,2,4.7,8,2,0.9,1,1.4,2.4,12.4,5.76,12.9,5.22,11.4,0.45,1.5,2.34,6.1,9.18,2.25,0.99,1.17,1.71,2.7,15.8,9.9,20.1,0.495,9.1,17.7,0.513,0.8,2.4,0.356,4,9.5,0.422,15.9,3.9,1.8,2.1,2.9,4.7,24.7,108.9,88.6,1187,20.4,0.503,0.516,0.118,0.471,469,10.4,19.3,14.9,13,1.8,3.4,10.5,23.2,2.1,3.3,5.4,0.183,2.8,6.7,9.6,38,"http://www.sports-reference.com/cbb/schools/arizona/2014.html","http://www.sports-reference.com/cbb/conferences/pac-12/2014.html","http://www.basketball-reference.com/players/g/gordoaa01.html",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gary Harris",19.2876712328767,"Shooting Guard","2012-13",29.7,4.4,9.7,2.5,5,1.9,4.6,2.2,2.9,2.5,1.4,1.3,0.2,1.5,2,12.9,5.31,13,3.06,6.8,2.34,6.3,2.61,3.9,3.06,1.62,1.62,0.18,1.8,2.43,17.4,9.2,20.1,0.456,5.2,10.5,0.497,4,9.7,0.411,4.5,6,0.755,5.3,2.8,2.8,0.4,3.1,4.2,26.9,117.2,97.2,1010,19.2,0.584,0.555,0.48,0.298,385,3.7,6.8,5.3,9.8,2.8,0.7,12,22.1,2.9,1.6,4.5,0.177,6.4,1.9,8.3,34,"http://www.sports-reference.com/cbb/schools/michigan-state/2013.html","http://www.sports-reference.com/cbb/conferences/big-ten/2013.html","http://www.basketball-reference.com/players/h/harriga01.html",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gary Harris",19.2876712328767,"Shooting Guard","2013-14",32.3,5.6,13,3.3,6.4,2.3,6.6,3.3,4.1,4,2.7,1.8,0.4,1.7,2.1,16.7,6.21,16.1,3.6,8,2.61,8.1,3.69,5,4.5,2.97,1.98,0.45,1.89,2.34,20.7,10.5,24.4,0.429,6.1,12.1,0.507,4.3,12.3,0.352,6.2,7.6,0.81,7.5,5,3.4,0.8,3.2,3.9,31.4,116.9,99.3,1131,22.5,0.561,0.518,0.505,0.312,542,4,10.2,7.3,16.8,3.4,1.6,10.3,26.8,3.3,2,5.3,0.188,6.9,2.5,9.4,35,"http://www.sports-reference.com/cbb/schools/michigan-state/2014.html","http://www.sports-reference.com/cbb/conferences/big-ten/2014.html","http://www.basketball-reference.com/players/h/harriga01.html",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glenn Robinson III",20.3944063926941,"Shooting Guard and Small Forward","2012-13",33.6,4.3,7.5,3.7,5.7,0.6,1.8,1.8,2.7,5.4,1.1,1,0.3,0.8,1.1,11,4.59,8.9,3.96,6.7,0.63,2.2,1.98,3.2,5.76,1.17,1.08,0.27,0.9,1.17,13,7.9,13.9,0.572,6.8,10.5,0.652,1.1,3.4,0.324,3.4,5,0.676,10,2,1.9,0.5,1.5,2.1,20.3,131.8,101.4,1312,19.9,0.626,0.611,0.243,0.36,412,7.8,12.5,10.1,5.8,1.9,0.8,8.6,15.3,4.2,1.6,5.7,0.175,6.9,3.1,9.9,39,"http://www.sports-reference.com/cbb/schools/michigan/2013.html","http://www.sports-reference.com/cbb/conferences/big-ten/2013.html","http://www.basketball-reference.com/players/r/robingl02.html",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glenn Robinson III",20.3944063926941,"Shooting Guard and Small Forward","2013-14",32.3,4.9,10.1,4,7.2,0.9,2.9,2.4,3.1,4.4,1.2,0.9,0.3,1.2,1.5,13.1,5.49,12.5,4.5,8.9,0.99,3.6,2.61,3.9,4.95,1.35,1.08,0.36,1.35,1.62,16.2,9.8,20,0.488,8,14.2,0.562,1.8,5.8,0.306,4.7,6.2,0.757,8.8,2.4,1.9,0.6,2.5,3,26,116.2,105.9,1194,18.9,0.566,0.532,0.29,0.308,450,6,11.5,8.8,7.6,1.9,1,9.7,22.3,2.8,1.4,4.2,0.142,4.4,1.6,6.1,37,"http://www.sports-reference.com/cbb/schools/michigan/2014.html","http://www.sports-reference.com/cbb/conferences/big-ten/2014.html","http://www.basketball-reference.com/players/r/robingl02.html",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alec Brown",21.1424657534247,"Forward/Center","2010-11",25.1,3.6,7.3,3.5,7.2,0.1,0.2,2.9,3.9,5.6,0.4,0.4,2.1,1.5,2.8,10.2,5.13,11.7,5.04,11.4,0.09,0.3,4.23,6.3,8.01,0.63,0.54,2.97,2.16,3.96,16.2,8.7,17.8,0.489,8.6,17.4,0.493,0.2,0.5,0.333,7.1,9.6,0.746,13.6,1.1,1,5.1,3.7,6.7,24.7,110.5,101,804,21.1,0.553,0.494,0.026,0.536,306,9.3,17.8,13.4,3.7,1,9.6,14.3,21.9,1.7,1.1,2.8,0.14,-0.8,2.9,2.1,32,"http://www.sports-reference.com/cbb/schools/green-bay/2011.html","http://www.sports-reference.com/cbb/conferences/horizon/2011.html","http://www.basketball-reference.com/players/b/brownal01.html",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alec Brown",21.1424657534247,"Forward/Center","2011-12",31.3,5.1,11.3,5,10.6,0.1,0.6,3.4,4.4,8.2,0.8,0.9,3,2,2.7,13.8,5.94,14.4,5.76,13.6,0.18,0.8,3.87,5.6,9.45,0.99,0.99,3.42,2.25,3.15,17.6,10,22,0.456,9.8,20.7,0.47,0.3,1.2,0.211,6.6,8.5,0.771,16,1.6,1.7,5.8,3.8,5.3,26.9,106,96.1,938,23.9,0.516,0.462,0.056,0.388,395,11.3,21.3,16,6.5,1.7,9.7,12.8,25.4,1.9,1.6,3.5,0.151,-0.5,3.8,3.3,30,"http://www.sports-reference.com/cbb/schools/green-bay/2012.html","http://www.sports-reference.com/cbb/conferences/horizon/2012.html","http://www.basketball-reference.com/players/b/brownal01.html",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alec Brown",21.1424657534247,"Forward/Center","2012-13",30.6,5,11.1,4.1,9.1,0.9,2.1,3.2,4.3,6,1.2,0.6,1.7,2.6,2.9,14.1,5.85,14.5,4.86,11.9,1.08,2.7,3.78,5.6,7.02,1.44,0.72,2.07,3.15,3.42,18.4,10.2,22.7,0.449,8.4,18.5,0.453,1.8,4.2,0.429,6.5,8.7,0.747,12.2,2.5,1.2,3.5,5.4,6,28.7,101.2,98.5,1042,19.5,0.534,0.488,0.185,0.385,443,8.1,17.3,12.6,10,1.2,6.7,16.7,27.6,1.7,1.5,3.2,0.123,-0.3,1.6,1.3,34,"http://www.sports-reference.com/cbb/schools/green-bay/2013.html","http://www.sports-reference.com/cbb/conferences/horizon/2013.html","http://www.basketball-reference.com/players/b/brownal01.html",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
