"Player","DraftAge","Position","season","mp_per_g","fg_per_g","fga_per_g","fg3_per_g","fg3a_per_g","fg2_per_g","fg2a_per_g","efg_pct","ft_per_g","fta_per_g","orb_per_g","drb_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","tov_per_g","pf_per_g","pts_per_g","mp","fg_per_mp","fga_per_mp","fg3_per_mp","fg3a_per_mp","fg2_per_mp","fg2a_per_mp","ft_per_mp","fta_per_mp","orb_per_mp","drb_per_mp","trb_per_mp","ast_per_mp","stl_per_mp","blk_per_mp","tov_per_mp","pf_per_mp","pts_per_mp","games","player_stats$link[i]","Year"
"Mario Kasun",22.1560502283105,"Center","2006-07",13.2,3.2,5.6,0,0,3.2,5.6,0.562,1.7,2.2,1.3,1.9,3.3,0.4,0.4,0.6,1.4,3,8,343,8.6,15.3,0,0,8.6,15.3,4.7,5.9,3.7,5.2,8.9,1,1.2,1.6,3.8,8.3,21.9,26,"http://www.basketball-reference.com/players/k/kasunma01.html",2007
"Mario Kasun",22.1560502283105,"Center","2007-08",15.9,3.4,5.5,0,0,3.4,5.5,0.613,1.9,2.7,1.8,1.8,3.5,0.5,0.5,0.4,1.7,2.8,8.6,825,7.7,12.5,0,0,7.7,12.5,4.2,6.1,4.1,4,8,1,1.2,1,3.8,6.4,19.6,52,"http://www.basketball-reference.com/players/k/kasunma01.html",2008
"Mario Kasun",22.1560502283105,"Center","2008-09",10,3,5,0,0,3,5,0.6,2,3,1,0,1,0,0,0,0,2,8,10,10.8,18,0,0,10.8,18,7.2,10.8,3.6,0,3.6,0,0,0,0,7.2,28.8,1,"http://www.basketball-reference.com/players/k/kasunma01.html",2009
"Mario Kasun",22.1560502283105,"Center","2009-10",15.8,3.4,5.3,0,0.1,3.4,5.2,0.655,1.1,1.8,2.8,2.9,5.8,0.5,0.4,0.5,1.4,2.4,8,253,7.8,12,0,0.1,7.8,11.8,2.6,4,6.4,6.7,13.1,1.1,0.9,1.1,3.3,5.5,18.2,16,"http://www.basketball-reference.com/players/k/kasunma01.html",2010
"Mario Kasun",22.1560502283105,"Center","2011-12",25.1,5,9.3,0,0.1,5,9.2,0.536,2.2,2.8,2.6,4,6.6,0.9,0.7,0.9,2.7,3.2,12.2,226,7.2,13.4,0,0.2,7.2,13.2,3.2,4,3.7,5.7,9.4,1.3,1,1.3,3.8,4.6,17.5,9,"http://www.basketball-reference.com/players/k/kasunma01.html",2012
"Mario Kasun",22.1560502283105,"Center","2012-13",12.2,2.4,4.3,0,0,2.4,4.3,0.548,0.9,1.8,1.2,2.5,3.7,0.2,0.4,0.5,1.9,2.7,5.6,208,6.9,12.6,0,0,6.9,12.6,2.8,5.2,3.5,7.4,10.9,0.7,1,1.4,5.5,8,16.6,17,"http://www.basketball-reference.com/players/k/kasunma01.html",2013
"Ronald Murray",22.158904109589,"Shooting Guard and Point Guard","2010-11",12.8,1.5,5.3,0.3,2.2,1.2,3.2,0.313,0.8,1,0,0.8,0.8,1,0.8,0,1.7,1.5,4.2,77,4.2,15,0.9,6.1,3.3,8.9,2.3,2.8,0,2.3,2.3,2.8,2.3,0,4.7,4.2,11.7,6,"http://www.basketball-reference.com/players/m/murraro01.html",2011
"Luis Scola",22.0876712328767,"Power Forward","1999-00",29.6,5.9,10.6,0,0.1,5.9,10.5,0.55,3.1,4.7,2.2,3.4,5.6,0.8,1.7,1,2,3.8,14.8,1005,7.1,13,0,0.1,7.1,12.8,3.8,5.7,2.7,4.2,6.8,1,2.1,1.2,2.4,4.6,18,34,"http://www.basketball-reference.com/players/s/scolalu01.html",2000
"Luis Scola",22.0876712328767,"Power Forward","2000-01",20.6,4.2,7.5,0,0,4.2,7.5,0.555,1.9,3.3,1.6,2.9,4.4,0.8,1.4,0.3,1.7,3.4,10.2,1153,7.3,13.1,0,0,7.3,13.1,3.3,5.7,2.7,5,7.7,1.4,2.5,0.6,3,6,17.9,56,"http://www.basketball-reference.com/players/s/scolalu01.html",2001
"Luis Scola",22.0876712328767,"Power Forward","2001-02",23.5,6.2,9.9,0,0.1,6.2,9.8,0.633,2.6,3.9,1.9,2.7,4.6,1.1,0.9,0.3,1.8,3.3,15.1,1268,9.6,15.2,0.1,0.2,9.5,15,3.9,6,2.9,4.2,7.1,1.6,1.4,0.4,2.7,5.1,23.1,54,"http://www.basketball-reference.com/players/s/scolalu01.html",2002
"Luis Scola",22.0876712328767,"Power Forward","2002-03",27.8,6.7,12.1,0,0,6.7,12.1,0.553,2.3,3.9,2,3.6,5.6,1.6,1.3,0.3,2.3,3.7,15.7,1224,8.6,15.6,0,0,8.6,15.6,3,5.1,2.6,4.7,7.3,2.1,1.7,0.4,2.9,4.8,20.3,44,"http://www.basketball-reference.com/players/s/scolalu01.html",2003
"Luis Scola",22.0876712328767,"Power Forward","2003-04",29.1,6.6,11.4,0,0,6.6,11.4,0.584,3.3,4.5,2.9,3.7,6.6,2,1.5,0.3,2.7,3.7,16.6,1223,8.2,14.1,0,0,8.2,14.1,4.1,5.6,3.6,4.5,8.1,2.4,1.9,0.4,3.3,4.6,20.5,42,"http://www.basketball-reference.com/players/s/scolalu01.html",2004
"Luis Scola",22.0876712328767,"Power Forward","2004-05",28.9,7,11.6,0,0.1,7,11.5,0.601,3.1,4.5,2.4,4.2,6.6,2.1,1.5,1,2,3.5,17.1,1647,8.7,14.5,0,0.1,8.7,14.3,3.9,5.6,3,5.2,8.2,2.6,1.9,1.2,2.5,4.4,21.3,57,"http://www.basketball-reference.com/players/s/scolalu01.html",2005
"Luis Scola",22.0876712328767,"Power Forward","2005-06",28.7,6.4,10.8,0,0.1,6.4,10.7,0.593,3.3,4.7,2.3,4.6,6.8,2,1.4,0.7,2.1,3.8,16.1,1665,8,13.5,0,0.1,8,13.4,4.1,5.9,2.9,5.7,8.6,2.6,1.7,0.9,2.7,4.7,20.1,58,"http://www.basketball-reference.com/players/s/scolalu01.html",2006
"Luis Scola",22.0876712328767,"Power Forward","2006-07",28.3,6.7,11.3,0,0,6.6,11.3,0.59,3,4.1,1.9,4.7,6.6,2.3,1.4,0.5,1.9,2.9,16.3,1471,8.5,14.4,0,0,8.4,14.3,3.8,5.2,2.4,6,8.4,3,1.8,0.6,2.4,3.7,20.8,52,"http://www.basketball-reference.com/players/s/scolalu01.html",2007
"Pau Gasol",20.0958904109589,"Center and Power Forward","1998-99",5,1,2,0.5,1.5,0.5,0.5,0.625,0.5,1.5,1,0,1,0.5,0.5,0.5,0,0.5,3,10,7.2,14.4,3.6,10.8,3.6,3.6,3.6,10.8,7.2,0,7.2,3.6,3.6,3.6,0,3.6,21.6,2,"http://www.basketball-reference.com/players/g/gasolpa01.html",2099
