"Player","DraftAge","Position","season","mp_per_g","fg_per_g","fga_per_g","fg3_per_g","fg3a_per_g","fg2_per_g","fg2a_per_g","efg_pct","ft_per_g","fta_per_g","orb_per_g","drb_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","tov_per_g","pf_per_g","pts_per_g","mp","fg_per_mp","fga_per_mp","fg3_per_mp","fg3a_per_mp","fg2_per_mp","fg2a_per_mp","ft_per_mp","fta_per_mp","orb_per_mp","drb_per_mp","trb_per_mp","ast_per_mp","stl_per_mp","blk_per_mp","tov_per_mp","pf_per_mp","pts_per_mp","games","player_stats$link[i]","Year"
"Dragan Bender",18.4631278538813,"Power Forward","2015-16",8.6,0.6,2.6,0.2,1.2,0.4,1.4,0.269,0.1,0.2,0.3,0.9,1.2,0.4,0.2,0.5,0.4,1.1,1.5,86,2.5,10.9,0.8,5,1.7,5.9,0.4,0.8,1.3,3.8,5,1.7,0.8,2.1,1.7,4.6,6.3,10,"http://www.basketball-reference.com/players/b/bendedr01.html",2016
"Georgios Papagiannis",18.0876712328767,"Center","2011-12",3.7,0.3,0.8,0,0,0.3,0.8,0.4,0.2,0.2,0.3,0.8,1.2,0,0,0,0.5,0.3,0.8,22,3.3,8.2,0,0,3.3,8.2,1.6,1.6,3.3,8.2,11.5,0,0,0,4.9,3.3,8.2,6,"http://www.basketball-reference.com/players/p/papagge01.html",2012
"Georgios Papagiannis",18.0876712328767,"Center","2012-13",5,0,0,0,0,0,0,NA,0,0,0,0.5,0.5,0,0,0,0,0.5,0,10,0,0,0,0,0,0,0,0,0,3.6,3.6,0,0,0,0,3.6,0,2,"http://www.basketball-reference.com/players/p/papagge01.html",2013
"Georgios Papagiannis",18.0876712328767,"Center","2014-15",10.7,1.7,4,0,0,1.7,4,0.429,0,0,1.9,2.6,4.4,0,0.4,1,0.7,0.3,3.4,75,5.8,13.4,0,0,5.8,13.4,0,0,6.2,8.6,14.9,0,1.4,3.4,2.4,1,11.5,7,"http://www.basketball-reference.com/players/p/papagge01.html",2015
"Georgios Papagiannis",18.0876712328767,"Center","2015-16",9,2.1,3.3,0,0,2.1,3.3,0.63,0.6,0.9,0.8,1.3,2.2,0.4,0.2,0.6,0.5,1.1,4.8,270,8.4,13.3,0,0,8.4,13.3,2.3,3.5,3.3,5.3,8.7,1.5,0.7,2.4,2.1,4.4,19.1,30,"http://www.basketball-reference.com/players/p/papagge01.html",2016
"Juan Hernangomez",20.3260273972603,"Power Forward","2013-14",4.7,0.3,1,0.3,0.7,0,0.3,0.5,0,0,0.3,0.3,0.7,0,0.3,0.3,0,0,1,14,2.6,7.7,2.6,5.1,0,2.6,0,0,2.6,2.6,5.1,0,2.6,2.6,0,0,7.7,3,"http://www.basketball-reference.com/players/h/hernaju01.html",2014
"Juan Hernangomez",20.3260273972603,"Power Forward","2014-15",10,0.9,2.1,0.2,0.7,0.7,1.4,0.442,0.5,0.7,1,1.2,2.2,0.3,0.3,0.3,0.4,0.9,2.4,280,3.1,7.7,0.6,2.6,2.4,5.1,1.8,2.4,3.5,4.4,7.8,1,0.9,1,1.4,3.1,8.6,28,"http://www.basketball-reference.com/players/h/hernaju01.html",2015
"Juan Hernangomez",20.3260273972603,"Power Forward","2015-16",23.7,3.1,6.9,1,2.8,2.1,4.1,0.528,2.4,3.3,1.7,4,5.7,0.6,0.8,0.3,1.4,1.3,9.7,806,4.8,10.5,1.5,4.2,3.3,6.3,3.6,5,2.6,6.1,8.7,0.8,1.3,0.4,2.1,2,14.7,34,"http://www.basketball-reference.com/players/h/hernaju01.html",2016
"Guerschon Yabusele",20.5453196347032,"Forward","2013-14",4,0.5,1,0.1,0.3,0.4,0.8,0.563,0.4,0.4,0.3,0.4,0.6,0,0,0,0.1,0.6,1.5,32,4.5,9,1.1,2.3,3.4,6.8,3.4,3.4,2.3,3.4,5.6,0,0,0,1.1,5.6,13.5,8,"http://www.basketball-reference.com/players/y/yabusgu01.html",2014
"Guerschon Yabusele",20.5453196347032,"Forward","2015-16",28.7,4.3,7.9,0.8,1.8,3.5,6.1,0.587,2.2,2.9,2.6,4.3,6.8,1.1,1.1,0.4,1.6,2.5,11.5,975,5.4,9.9,1,2.3,4.4,7.7,2.8,3.6,3.2,5.4,8.6,1.3,1.4,0.6,2,3.1,14.4,34,"http://www.basketball-reference.com/players/y/yabusgu01.html",2016
"Timothe Luwawu",21.0630136986301,"Small Forward","2013-14",5.8,0.5,2,0,0.5,0.5,1.5,0.25,0.5,0.5,0.3,0.5,0.8,0.8,0.3,0,0.8,2.3,1.5,23,3.1,12.5,0,3.1,3.1,9.4,3.1,3.1,1.6,3.1,4.7,4.7,1.6,0,4.7,14.1,9.4,4,"http://www.basketball-reference.com/players/l/luwawti01.html",2014
"Furkan Korkmaz",19.3533105022831,"Guard","2014-15",10.7,1.1,2.6,0.6,1.5,0.4,1.1,0.531,0.8,1,0.2,1.2,1.4,0.8,0.6,0,0.4,1.3,3.5,204,3.5,8.6,2.1,5.1,1.4,3.5,2.6,3.4,0.7,4.1,4.8,2.8,1.9,0,1.2,4.4,11.8,19,"http://www.basketball-reference.com/players/k/korkmfu01.html",2015
"Furkan Korkmaz",19.3533105022831,"Guard","2015-16",8.8,0.9,2.4,0.6,1.4,0.4,1.1,0.511,0.2,0.4,0.3,0.6,0.9,0.5,0.1,0.2,0.4,1.4,2.7,168,3.9,9.9,2.4,5.6,1.5,4.3,0.9,1.5,1.1,2.6,3.6,1.9,0.4,0.6,1.7,5.8,10.9,19,"http://www.basketball-reference.com/players/k/korkmfu01.html",2016
"Furkan Korkmaz",19.3533105022831,"Guard","2016-17",7,0.5,2.5,0,0.5,0.5,2,0.2,0,0,0,0.5,0.5,0.5,1.5,0,0,0.5,1,14,2.6,12.9,0,2.6,2.6,10.3,0,0,0,2.6,2.6,2.6,7.7,0,0,2.6,5.1,2,"http://www.basketball-reference.com/players/k/korkmfu01.html",2017
"David Michineau",21.013698630137,"Guard","2013-14",6,0.5,1.5,0.2,0.5,0.3,1,0.389,0.2,0.3,0.1,0.7,0.8,0.5,0.3,0.1,0.3,1.2,1.3,72,3,9,1,3,2,6,1,2,0.5,4,4.5,3,2,0.5,1.5,7,8,12,"http://www.basketball-reference.com/players/m/michida01.html",2014
"David Michineau",21.013698630137,"Guard","2014-15",13.8,1.4,3.9,0.1,0.7,1.3,3.2,0.371,0.5,1,0.2,0.8,1,1.3,0.7,0.1,1.3,1.8,3.4,360,3.6,10.1,0.3,1.7,3.3,8.4,1.4,2.7,0.4,2.2,2.6,3.5,1.7,0.2,3.3,4.6,8.9,26,"http://www.basketball-reference.com/players/m/michida01.html",2015
"David Michineau",21.013698630137,"Guard","2015-16",13.6,2.2,5.1,0.4,1.3,1.8,3.9,0.474,0.8,1.1,0.5,0.5,0.9,1.5,0.5,0,0.9,1.9,5.6,461,5.9,13.7,1.1,3.4,4.8,10.3,2,3,1.2,1.2,2.5,4.1,1.4,0,2.4,4.9,15,34,"http://www.basketball-reference.com/players/m/michida01.html",2016
"David Michineau",21.013698630137,"Guard","2016-17",23.8,3.3,9.5,0.6,3,2.7,6.5,0.379,2,2.5,0.7,1.7,2.4,2.9,0.6,0,2.4,2.6,9.2,524,5,14.4,0.9,4.5,4.1,9.9,3,3.8,1,2.6,3.6,4.3,0.9,0.1,3.6,3.9,13.9,22,"http://www.basketball-reference.com/players/m/michida01.html",2017
"Isaia Cordinier",19.4932648401826,"Guard","2013-14",4.8,0.5,1.8,0.3,0.5,0.3,1.3,0.357,0,0,0.5,0,0.5,0.3,0,0,0.5,0.8,1.3,19,3.8,13.3,1.9,3.8,1.9,9.5,0,0,3.8,0,3.8,1.9,0,0,3.8,5.7,9.5,4,"http://www.basketball-reference.com/players/c/cordiis01.html",2014
"Isaia Cordinier",19.4932648401826,"Guard","2016-17",20.1,1.7,4.8,0.4,1.9,1.3,2.9,0.384,1.3,2,0.4,1.6,2,1.5,0.5,0,1.5,2.7,4.9,402,3,8.5,0.6,3.4,2.3,5.1,2.2,3.5,0.7,2.9,3.6,2.6,0.8,0,2.7,4.7,8.8,20,"http://www.basketball-reference.com/players/c/cordiis01.html",2017
"Paul Zipser",22.2848173515982,"Small Forward","2013-14",7.6,1.2,3.2,0.2,0.6,1,2.6,0.406,1.6,1.6,0.4,0.6,1,0.6,0,0,0.4,1.4,4.2,38,5.7,15.2,0.9,2.8,4.7,12.3,7.6,7.6,1.9,2.8,4.7,2.8,0,0,1.9,6.6,19.9,5,"http://www.basketball-reference.com/players/z/zipsepa01.html",2014
"Paul Zipser",22.2848173515982,"Small Forward","2014-15",12,1.6,2.6,0.3,0.6,1.4,2,0.667,0.6,0.6,0.8,1.4,2.1,0.6,0.6,0.3,1,1.3,4.1,96,4.9,7.9,0.7,1.9,4.1,6,1.9,1.9,2.3,4.1,6.4,1.9,1.9,0.7,3,3.7,12.4,8,"http://www.basketball-reference.com/players/z/zipsepa01.html",2015
"Paul Zipser",22.2848173515982,"Small Forward","2015-16",17.9,2.4,4.9,0.7,1.9,1.7,3,0.567,1.2,1.2,0.9,2.7,3.6,1.3,0.4,0.7,1.1,2.2,6.7,357,4.8,9.8,1.4,3.7,3.4,6.1,2.3,2.4,1.8,5.4,7.3,2.5,0.7,1.3,2.1,4.3,13.4,20,"http://www.basketball-reference.com/players/z/zipsepa01.html",2016
"Petr Cornelie",20.1506849315068,"Forward","2013-14",2,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0.5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,"http://www.basketball-reference.com/players/c/cornepe01.html",2014
"Petr Cornelie",20.1506849315068,"Forward","2014-15",16.3,1.7,3.3,0.4,1.1,1.3,2.2,0.563,0.1,0.3,1.3,3.1,4.5,0.5,0.3,0.8,0.5,2.3,3.9,392,3.7,7.3,0.9,2.5,2.8,4.9,0.3,0.6,2.9,6.9,9.8,1.1,0.6,1.8,1,5.1,8.5,24,"http://www.basketball-reference.com/players/c/cornepe01.html",2015
"Petr Cornelie",20.1506849315068,"Forward","2015-16",19.8,3.2,6.4,0.9,2.1,2.3,4.3,0.573,1.3,1.9,1.8,3.6,5.4,0.3,0.3,0.5,1.3,2.8,8.7,850,5.8,11.6,1.7,3.9,4.2,7.8,2.5,3.5,3.3,6.6,9.8,0.6,0.6,1,2.3,5.1,15.8,43,"http://www.basketball-reference.com/players/c/cornepe01.html",2016
"Petr Cornelie",20.1506849315068,"Forward","2016-17",14.5,1.8,4.2,0.3,1.7,1.6,2.5,0.469,0.3,0.4,1.1,2.1,3.2,0.7,0.2,0.5,0.7,1.7,4.3,276,4.6,10.4,0.7,4.2,3.9,6.3,0.8,1,2.7,5.1,7.8,1.7,0.5,1.3,1.7,4.3,10.6,19,"http://www.basketball-reference.com/players/c/cornepe01.html",2017
"Kristaps Porzingis",19.1698630136986,"Power Forward","2012-13",6.6,0.8,1.6,0.2,0.4,0.6,1.2,0.563,0.2,0.3,0.5,0.5,1,0.2,0.2,0.2,0.2,0.7,2,66,4.4,8.7,1.1,2.2,3.3,6.5,1.1,1.6,2.7,2.7,5.5,1.1,1.1,1.1,1.1,3.8,10.9,10,"http://www.basketball-reference.com/players/p/porzikr01.html",2013
"Kristaps Porzingis",19.1698630136986,"Power Forward","2013-14",14.9,2.8,6,0.5,1.5,2.3,4.5,0.518,0.5,0.9,1,1.8,2.8,0.3,0.6,0.9,0.8,2.6,6.7,477,6.9,14.4,1.2,3.6,5.7,10.8,1.3,2.1,2.4,4.2,6.6,0.8,1.4,2.3,2,6.3,16.2,32,"http://www.basketball-reference.com/players/p/porzikr01.html",2014
"Kristaps Porzingis",19.1698630136986,"Power Forward","2014-15",21.4,4.1,8.3,0.8,2.3,3.3,6,0.547,1.9,2.5,1.4,3.2,4.6,0.5,0.9,1,1.4,2.6,11,1072,7,14,1.4,3.9,5.5,10.1,3.2,4.2,2.3,5.4,7.7,0.9,1.5,1.7,2.4,4.4,18.5,50,"http://www.basketball-reference.com/players/p/porzikr01.html",2015
"Mario Hezonja",20.262899543379,"Small Forward","2012-13",5.6,0.4,1.4,0,0,0.4,1.4,0.286,0.2,0.4,0.2,0.8,1,0,0.2,0,0.6,0.8,1,28,2.6,9,0,0,2.6,9,1.3,2.6,1.3,5.1,6.4,0,1.3,0,3.9,5.1,6.4,5,"http://www.basketball-reference.com/players/h/hezonma01.html",2013
"Mario Hezonja",20.262899543379,"Small Forward","2013-14",9.7,1.4,3.1,0.5,1.4,0.9,1.7,0.534,0.6,0.6,0.1,1.5,1.6,0.8,0.2,0.1,0.5,1,3.8,329,5.1,11.4,1.9,5,3.3,6.3,2.1,2.4,0.4,5.5,5.9,2.8,0.9,0.5,2,3.7,14.2,34,"http://www.basketball-reference.com/players/h/hezonma01.html",2014
"Mario Hezonja",20.262899543379,"Small Forward","2014-15",15.4,2.2,4.7,1.1,2.8,1.1,1.9,0.57,0.4,0.6,0.4,1.5,2,1.2,0.6,0.1,1.1,1.8,5.8,834,5.1,11.1,2.5,6.6,2.5,4.4,1,1.3,1,3.6,4.6,2.8,1.4,0.3,2.7,4.1,13.6,54,"http://www.basketball-reference.com/players/h/hezonma01.html",2015
"Nikola Milutinov",20.5809360730594,"Center","2012-13",7.5,1.3,2.3,0,0,1.3,2.3,0.556,0.8,1,0.4,1,1.4,0.1,0.1,0.3,0.1,1.4,3.3,60,6,10.8,0,0,6,10.8,3.6,4.8,1.8,4.8,6.6,0.6,0.6,1.2,0.6,6.6,15.6,8,"http://www.basketball-reference.com/players/m/milutni01.html",2013
"Nikola Milutinov",20.5809360730594,"Center","2013-14",20.3,2,3.8,0,0,2,3.8,0.513,0.8,1.2,1.8,1.5,3.3,1,0.2,0.6,0.8,3.3,4.7,426,3.5,6.8,0,0,3.5,6.8,1.4,2.1,3.2,2.7,5.9,1.7,0.3,1,1.4,5.8,8.3,21,"http://www.basketball-reference.com/players/m/milutni01.html",2014
"Nikola Milutinov",20.5809360730594,"Center","2014-15",22.4,2.6,5.8,0,0,2.6,5.8,0.442,1.9,2.4,3.9,2.1,6,1.3,0.4,0.3,1.7,3.4,7,202,4.1,9.3,0,0,4.1,9.3,3,3.9,6.2,3.4,9.6,2.1,0.7,0.5,2.7,5.5,11.2,9,"http://www.basketball-reference.com/players/m/milutni01.html",2015
"Nikola Milutinov",20.5809360730594,"Center","2015-16",11.7,1.7,2.8,0,0,1.7,2.8,0.597,0.9,1.4,1.6,1.5,3.1,0.6,0.4,0.7,0.6,2,4.2,504,5.1,8.5,0,0,5.1,8.5,2.9,4.4,4.8,4.7,9.5,1.9,1.4,2.3,1.7,6.3,13,43,"http://www.basketball-reference.com/players/m/milutni01.html",2016
"Nikola Milutinov",20.5809360730594,"Center","2016-17",12.9,1.6,2.9,0,0,1.6,2.9,0.553,1.1,1.6,1.8,1.7,3.4,0.7,0.5,0.9,0.9,2.1,4.4,542,4.5,8.2,0,0.1,4.5,8.1,3.1,4.4,4.9,4.6,9.6,2.1,1.3,2.4,2.5,6,12.2,42,"http://www.basketball-reference.com/players/m/milutni01.html",2017
"Cedi Osman",20.1479452054795,"Forward","2013-14",11.6,1.3,3,0.8,1.6,0.5,1.4,0.577,0.3,0.8,0.4,1.3,1.7,0.9,0.5,0.1,0.3,1.8,3.8,151,4.1,9.3,2.6,5,1.4,4.3,1,2.4,1.2,4.1,5.2,2.9,1.4,0.2,1,5.7,11.7,13,"http://www.basketball-reference.com/players/o/osmande01.html",2014
"Cedi Osman",20.1479452054795,"Forward","2014-15",19.3,2.2,5.6,0.7,2.4,1.5,3.1,0.464,1.5,2.2,0.8,2.9,3.7,1.1,0.7,0.3,0.9,2.3,6.7,521,4.1,10.4,1.4,4.6,2.8,5.9,2.8,4.1,1.5,5.3,6.8,2,1.3,0.6,1.6,4.4,12.4,27,"http://www.basketball-reference.com/players/o/osmande01.html",2015
"Cedi Osman",20.1479452054795,"Forward","2015-16",20,2.7,6.2,1.2,3.1,1.6,3.1,0.535,1.3,1.7,1,2,3.1,0.7,0.9,0.1,0.8,1.5,7.9,459,4.9,11.2,2.1,5.6,2.8,5.6,2.3,3,1.9,3.7,5.6,1.3,1.6,0.2,1.5,2.7,14.3,23,"http://www.basketball-reference.com/players/o/osmande01.html",2016
"Cedi Osman",20.1479452054795,"Forward","2016-17",18.8,2.7,6.4,1.3,3.2,1.4,3.3,0.518,1.2,1.6,0.9,2,2.9,0.9,0.6,0.1,0.7,1.9,7.8,489,5.2,12.3,2.4,6,2.7,6.3,2.3,3,1.7,3.8,5.5,1.8,1.1,0.1,1.3,3.6,15,26,"http://www.basketball-reference.com/players/o/osmande01.html",2017
"Willy Hernangomez",21.013698630137,"Center","2012-13",4,0.4,2,0,0,0.4,2,0.222,0.7,1.1,0.3,0.6,0.9,0,0.4,0.1,0.4,0.9,1.6,36,4,18,0,0,4,18,6,10,3,5,8,0,4,1,4,8,14,9,"http://www.basketball-reference.com/players/h/hernawi01.html",2013
"Willy Hernangomez",21.013698630137,"Center","2013-14",13.2,2.3,3.9,0,0,2.3,3.9,0.583,1.4,2.1,1.6,1.6,3.2,0.2,0.4,0.5,0.6,1.9,5.9,449,6.2,10.6,0,0.1,6.2,10.5,3.7,5.7,4.2,4.5,8.7,0.5,1.1,1.3,1.8,5.1,16,34,"http://www.basketball-reference.com/players/h/hernawi01.html",2014
"Willy Hernangomez",21.013698630137,"Center","2014-15",19.7,4,7.5,0,0.2,3.9,7.3,0.535,2.1,2.9,2.2,3.5,5.7,0.6,0.9,0.4,1.9,2.2,10.1,984,7.3,13.7,0.1,0.4,7.2,13.3,3.8,5.2,4.1,6.3,10.4,1.1,1.7,0.7,3.5,4,18.4,50,"http://www.basketball-reference.com/players/h/hernawi01.html",2015
"Willy Hernangomez",21.013698630137,"Center","2015-16",12.1,2.4,3.6,0,0,2.4,3.6,0.66,1,1.5,1.4,2.3,3.7,0.4,0.4,0.6,0.8,1.8,5.8,484,7.1,10.7,0,0,7.1,10.7,3,4.3,4,6.9,10.9,1.1,1.1,1.7,2.5,5.4,17.2,40,"http://www.basketball-reference.com/players/h/hernawi01.html",2016
"Arturas Gudaitis",21.0493150684932,"Center","2013-14",10.3,1.7,2.9,0,0.6,1.7,2.3,0.6,1,1.6,0.6,2,2.6,0.6,0.4,0.7,0.3,1,4.4,72,6,10,0,2,6,8,3.5,5.5,2,7,9,2,1.5,2.5,1,3.5,15.5,7,"http://www.basketball-reference.com/players/g/gudaiar01.html",2014
"Arturas Gudaitis",21.0493150684932,"Center","2014-15",15.4,2.2,4.3,0.1,0.3,2.1,4,0.518,2.1,3.4,1.9,2.2,4,0.3,0.2,0.9,0.8,2.1,6.5,307,5,10,0.2,0.6,4.8,9.4,4.9,8,4.3,5,9.4,0.6,0.4,2.1,1.8,4.8,15.2,20,"http://www.basketball-reference.com/players/g/gudaiar01.html",2015
"Arturas Gudaitis",21.0493150684932,"Center","2015-16",10.6,2.2,3,0,0,2.2,3,0.733,0.4,1,0.6,2,2.6,0,0,1,0.6,1.2,4.8,53,7.5,10.2,0,0,7.5,10.2,1.4,3.4,2,6.8,8.8,0,0,3.4,2,4.1,16.3,5,"http://www.basketball-reference.com/players/g/gudaiar01.html",2016
"Arturas Gudaitis",21.0493150684932,"Center","2016-17",25.4,4.1,7.9,0,0.1,4.1,7.8,0.521,5,7.1,3.4,4.9,8.3,0.9,0.6,1.9,1.8,3.1,13.2,229,5.8,11.2,0,0.2,5.8,11,7.1,10.1,4.9,6.9,11.8,1.3,0.8,2.7,2.5,4.4,18.7,9,"http://www.basketball-reference.com/players/g/gudaiar01.html",2017
"Marcus Eriksson",21.5124429223744,"Guard","2010-11",1.3,0,0,0,0,0,0,NA,0,0,0,0.3,0.3,0,0,0,0.3,0.3,0,5,0,0,0,0,0,0,0,0,0,7.2,7.2,0,0,0,7.2,7.2,0,4,"http://www.basketball-reference.com/players/e/eriksma01.html",2011
"Marcus Eriksson",21.5124429223744,"Guard","2012-13",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"http://www.basketball-reference.com/players/e/eriksma01.html",2013
"Marcus Eriksson",21.5124429223744,"Guard","2013-14",23.9,3.8,9.3,2.1,5.6,1.7,3.8,0.521,1.5,1.5,0.4,1.5,1.8,0.8,0.4,0.2,0.9,1.7,11.2,790,5.7,14,3.1,8.4,2.6,5.7,2.2,2.3,0.5,2.2,2.7,1.2,0.6,0.2,1.4,2.6,16.8,33,"http://www.basketball-reference.com/players/e/eriksma01.html",2014
"Marcus Eriksson",21.5124429223744,"Guard","2014-15",5,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,1,"http://www.basketball-reference.com/players/e/eriksma01.html",2015
"Marcus Eriksson",21.5124429223744,"Guard","2015-16",9.6,1.2,2.9,0.6,2,0.6,1,0.5,0.2,0.3,0.2,0.8,1.1,0.3,0.4,0,0.3,0.7,3.1,239,4.4,11,2.3,7.4,2.1,3.6,0.6,1.1,0.9,3.2,4.1,1.2,1.5,0,1.1,2.7,11.6,25,"http://www.basketball-reference.com/players/e/eriksma01.html",2016
"Marcus Eriksson",21.5124429223744,"Guard","2016-17",12.4,1.5,3.3,1,2.3,0.5,1,0.617,0.3,0.3,0.3,1,1.3,0.6,0.4,0.2,0.5,1.4,4.4,482,4.4,9.6,3,6.7,1.4,2.8,0.9,1,0.8,2.8,3.7,1.6,1.1,0.4,1.3,4,12.7,39,"http://www.basketball-reference.com/players/e/eriksma01.html",2017
"Dani Diez",22.1506849315068,"Forward","2011-12",4,0,2,0,1,0,1,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,8,0,18,0,9,0,9,0,0,4.5,0,4.5,0,0,0,4.5,0,0,2,"http://www.basketball-reference.com/players/d/diezda01.html",2012
"Dani Diez",22.1506849315068,"Forward","2012-13",12.2,1.5,3.3,0.4,1.3,1.1,2,0.5,0.5,0.8,0.6,1.1,1.6,0.1,0.3,0,0.3,0.9,3.8,378,4.4,9.8,1,3.9,3.3,5.9,1.3,2.4,1.7,3.1,4.9,0.3,1,0.1,1,2.7,11.1,31,"http://www.basketball-reference.com/players/d/diezda01.html",2013
"Dani Diez",22.1506849315068,"Forward","2013-14",9.7,1,2.4,0.3,1.1,0.7,1.3,0.476,0.2,0.3,0.4,0.7,1.1,0.4,0.4,0,0.3,0.6,2.5,493,3.7,9,1.1,4.2,2.6,4.7,0.7,1.1,1.5,2.6,4.2,1.4,1.5,0.1,1,2.1,9.2,51,"http://www.basketball-reference.com/players/d/diezda01.html",2014
"Dani Diez",22.1506849315068,"Forward","2014-15",29.6,4.4,9.1,1.9,4.7,2.4,4.4,0.586,1.5,2,1.1,5.7,6.8,0.5,1,0,1.2,1.1,12.1,888,5.3,11.1,2.4,5.7,3,5.4,1.8,2.5,1.4,6.9,8.3,0.6,1.3,0,1.4,1.3,14.8,30,"http://www.basketball-reference.com/players/d/diezda01.html",2015
"Dani Diez",22.1506849315068,"Forward","2015-16",16.9,1.8,4.2,0.8,2.3,1,1.9,0.524,0.6,0.9,1.3,2.1,3.5,0.5,0.4,0.1,0.6,0.8,5.1,983,3.8,9,1.7,5,2.1,4,1.4,1.8,2.8,4.5,7.4,1.1,0.8,0.1,1.2,1.6,10.8,58,"http://www.basketball-reference.com/players/d/diezda01.html",2016
"Dani Diez",22.1506849315068,"Forward","2016-17",16.5,1.8,4.1,0.8,2.3,1,1.9,0.532,0.9,1.1,1.1,2.1,3.3,0.3,0.3,0,0.5,0.7,5.3,691,3.9,9.1,1.8,4.9,2.1,4.1,1.9,2.4,2.5,4.6,7.1,0.6,0.7,0.1,1.1,1.6,11.5,42,"http://www.basketball-reference.com/players/d/diezda01.html",2017
"Nikola Radicevic",21.1013698630137,"Guard","2012-13",5.9,0.4,2.2,0,0.3,0.4,1.9,0.182,0.4,0.5,0.1,0.2,0.3,0.9,0.2,0,1.1,1.1,1.2,59,2.4,13.4,0,1.8,2.4,11.6,2.4,3.1,0.6,1.2,1.8,5.5,1.2,0,6.7,6.7,7.3,10,"http://www.basketball-reference.com/players/r/radicni01.html",2013
"Nikola Radicevic",21.1013698630137,"Guard","2013-14",8.1,1.1,2.6,0.2,0.9,0.9,1.7,0.467,0.8,1,0.1,0.6,0.7,0.7,0.1,0,0.7,0.9,3.2,146,4.9,11.3,0.7,3.9,4.2,7.4,3.5,4.4,0.2,2.7,3,3,0.5,0,3,3.9,14.1,18,"http://www.basketball-reference.com/players/r/radicni01.html",2014
"Nikola Radicevic",21.1013698630137,"Guard","2014-15",21.3,2.7,6.6,0.7,2.3,2,4.3,0.466,1.1,1.7,0.2,2.1,2.3,3.2,0.8,0,1.8,1.8,7.2,1042,4.6,11.1,1.2,3.8,3.4,7.3,1.8,2.8,0.3,3.6,3.9,5.4,1.4,0,3,3.1,12.2,49,"http://www.basketball-reference.com/players/r/radicni01.html",2015
"Nikola Radicevic",21.1013698630137,"Guard","2015-16",6,1.5,3.5,0,1,1.5,2.5,0.429,0,0.5,0,0,0,0.5,0,0,0,1,3,12,9,21,0,6,9,15,0,3,0,0,0,3,0,0,0,6,18,2,"http://www.basketball-reference.com/players/r/radicni01.html",2016
"Nikola Radicevic",21.1013698630137,"Guard","2016-17",24.4,3.3,8.5,0.7,2.8,2.5,5.6,0.429,1.6,2.2,0.2,2.1,2.3,2.6,0.7,0.1,1.8,2,8.8,463,4.8,12.5,1.1,4.2,3.7,8.3,2.3,3.2,0.3,3,3.3,3.9,1.1,0.1,2.6,3,13.1,19,"http://www.basketball-reference.com/players/r/radicni01.html",2017
"Dimitrios Agravanis",20.5535388127854,"Forward/Center","2010-11",2,0,0,0,0,0,0,NA,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,36,36,0,0,0,0,0,0,0,0,36,1,"http://www.basketball-reference.com/players/a/agravdi01.html",2011
"Dimitrios Agravanis",20.5535388127854,"Forward/Center","2011-12",12,0.9,2.7,0.1,0.4,0.8,2.4,0.368,1,1.8,1.2,1.6,2.8,0.3,0.5,0.3,0.5,2.8,3,168,2.8,8.1,0.4,1.1,2.4,7.1,3,5.4,3.6,4.7,8.4,0.9,1.5,0.9,1.5,8.4,9,14,"http://www.basketball-reference.com/players/a/agravdi01.html",2012
"Dimitrios Agravanis",20.5535388127854,"Forward/Center","2012-13",6.2,0.2,1.5,0.2,0.9,0.1,0.5,0.211,0.5,0.9,0.5,0.8,1.3,0.3,0.2,0.2,0.4,1.6,1.1,80,1.4,8.6,0.9,5.4,0.5,3.2,2.7,5.4,3.2,4.5,7.7,1.8,1.4,0.9,2.3,9.5,6.3,13,"http://www.basketball-reference.com/players/a/agravdi01.html",2013
"Dimitrios Agravanis",20.5535388127854,"Forward/Center","2013-14",7.8,0.6,2.3,0.1,0.9,0.5,1.4,0.292,0.5,0.6,0.4,0.9,1.3,0.4,0.3,0.1,0.3,2,1.8,164,2.9,10.5,0.4,4.2,2.4,6.4,2.2,2.6,2,4,5.9,2,1.3,0.7,1.5,9.2,8.3,21,"http://www.basketball-reference.com/players/a/agravdi01.html",2014
"Dimitrios Agravanis",20.5535388127854,"Forward/Center","2014-15",14.3,2,4.7,0.6,2,1.5,2.7,0.492,0.8,1.3,1.1,2,3.1,0.5,0.5,0.6,0.3,2.3,5.4,542,5.1,11.8,1.4,5,3.7,6.8,1.9,3.3,2.8,5,7.8,1.3,1.3,1.6,0.7,5.9,13.5,38,"http://www.basketball-reference.com/players/a/agravdi01.html",2015
