"Player","VORP","G","MP","draftYear","link","Amateur"
"Trey Lyles",-0.1,116,2127,2015,"http://www.basketball-reference.com/players/l/lylestr01.html","College"
"Devin Booker",-1,111,3271,2015,"http://www.basketball-reference.com/players/b/bookede01.html","College"
"Cameron Payne",0.1,57,698,2015,"http://www.basketball-reference.com/players/p/payneca01.html","College"
"Kelly Oubre",-0.8,95,1273,2015,"http://www.basketball-reference.com/players/o/oubreke01.html","College"
"Terry Rozier",-0.4,70,872,2015,"http://www.basketball-reference.com/players/r/roziete01.html","College"
"Rashad Vaughn",-1.1,84,1168,2015,"http://www.basketball-reference.com/players/v/vaughra01.html","College"
"Sam Dekker",0.4,39,687,2015,"http://www.basketball-reference.com/players/d/dekkesa01.html","College"
"Jerian Grant",-0.4,104,1658,2015,"http://www.basketball-reference.com/players/g/grantje02.html","College"
"Delon Wright",0.1,27,229,2015,"http://www.basketball-reference.com/players/w/wrighde01.html","College"
"Justin Anderson",0.1,88,1218,2015,"http://www.basketball-reference.com/players/a/anderju01.html","College"
"Bobby Portis",-0.4,85,1364,2015,"http://www.basketball-reference.com/players/p/portibo01.html","College"
"Rondae Hollis-Jefferson",0.4,59,1286,2015,"http://www.basketball-reference.com/players/h/holliro01.html","College"
"Tyus Jones",-0.2,58,792,2015,"http://www.basketball-reference.com/players/j/jonesty01.html","College"
"Jarell Martin",-0.8,64,906,2015,"http://www.basketball-reference.com/players/m/martija01.html","College"
"Nikola Milutinov",NA,NA,NA,2015,"http://www.basketball-reference.com/players/m/milutni01.html","Euro"
"Larry Nance Jr.",0.8,91,1893,2015,"http://www.basketball-reference.com/players/n/nancela02.html","College"
"R.J. Hunter",-0.1,39,324,2015,"http://www.basketball-reference.com/players/h/hunterj01.html","College"
"Chris McCullough",0,34,418,2015,"http://www.basketball-reference.com/players/m/mcculch01.html","College"
"Kevon Looney",0.2,34,272,2015,"http://www.basketball-reference.com/players/l/looneke01.html","College"
"Cedi Osman",NA,NA,NA,2015,"http://www.basketball-reference.com/players/o/osmande01.html","Euro"
"Montrezl Harrell",0.3,66,856,2015,"http://www.basketball-reference.com/players/h/harremo01.html","College"
"Jordan Mickey",-0.1,25,125,2015,"http://www.basketball-reference.com/players/m/mickejo01.html","College"
"Anthony Brown",-0.5,38,742,2015,"http://www.basketball-reference.com/players/b/brownan02.html","College"
"Willy Hernangomez",0,30,399,2015,"http://www.basketball-reference.com/players/h/hernawi01.html","Euro"
"Rakeem Christmas",0,4,20,2015,"http://www.basketball-reference.com/players/c/chrisra01.html","College"
"Richaun Holmes",0.4,72,1039,2015,"http://www.basketball-reference.com/players/h/holmeri01.html","College"
"Darrun Hilliard",-0.3,59,615,2015,"http://www.basketball-reference.com/players/h/hillida01.html","College"
"Juan Pablo Vaulet",NA,NA,NA,2015,"http://www.basketball-reference.com/players/v/vauleju01.html",""
"Josh Richardson",0.9,79,1952,2015,"http://www.basketball-reference.com/players/r/richajo01.html","College"
"Pat Connaughton",-0.3,49,232,2015,"http://www.basketball-reference.com/players/c/connapa01.html","College"
"Olivier Hanlan",NA,NA,NA,2015,"http://www.basketball-reference.com/players/h/hanlaol01.html","College"
"Joseph Young",-0.4,58,485,2015,"http://www.basketball-reference.com/players/y/youngjo01.html","College"
"Andrew Harrison",0,37,977,2015,"http://www.basketball-reference.com/players/h/harrian01.html","College"
"Marcus Thornton",NA,NA,NA,2015,"http://www.basketball-reference.com/players/t/thornma02.html","College"
"Norman Powell",0.6,79,1160,2015,"http://www.basketball-reference.com/players/p/powelno01.html","College"
"Arturas Gudaitis",NA,NA,NA,2015,"http://www.basketball-reference.com/players/g/gudaiar01.html","Euro"
"Dakari Johnson",NA,NA,NA,2015,"http://www.basketball-reference.com/players/j/johnsda04.html","College"
"Aaron White",NA,NA,NA,2015,"http://www.basketball-reference.com/players/w/whiteaa01.html","College"
"Marcus Eriksson",NA,NA,NA,2015,"http://www.basketball-reference.com/players/e/eriksma01.html","Euro"
"Tyler Harvey",NA,NA,NA,2015,"http://www.basketball-reference.com/players/h/harvety01.html","College"
"Satnam Singh",NA,NA,NA,2015,"http://www.basketball-reference.com/players/s/singhsa01.html",""
"Sir'Dominic Pointer",NA,NA,NA,2015,"http://www.basketball-reference.com/players/p/pointsi01.html","College"
"Dani Diez",NA,NA,NA,2015,"http://www.basketball-reference.com/players/d/diezda01.html","Euro"
"Cady Lalanne",NA,NA,NA,2015,"http://www.basketball-reference.com/players/l/lalanca01.html","College"
"Branden Dawson",0,6,29,2015,"http://www.basketball-reference.com/players/d/dawsobr01.html","College"
"Nikola Radicevic",NA,NA,NA,2015,"http://www.basketball-reference.com/players/r/radicni01.html","Euro"
"J.P. Tokoto",NA,NA,NA,2015,"http://www.basketball-reference.com/players/t/tokotjp01.html","College"
"Dimitrios Agravanis",NA,NA,NA,2015,"http://www.basketball-reference.com/players/a/agravdi01.html","Euro"
"Luka Mitrovic",NA,NA,NA,2015,"http://www.basketball-reference.com/players/m/mitrolu01.html","Euro"
"Andrew Wiggins",-0.6,198,7100,2014,"http://www.basketball-reference.com/players/w/wiggian01.html","College"
"Jabari Parker",0.8,135,4295,2014,"http://www.basketball-reference.com/players/p/parkeja01.html","College"
"Joel Embiid",0.6,23,576,2014,"http://www.basketball-reference.com/players/e/embiijo01.html","College"
"Aaron Gordon",1.8,162,3630,2014,"http://www.basketball-reference.com/players/g/gordoaa01.html","College"
"Dante Exum",-0.9,110,2399,2014,"http://www.basketball-reference.com/players/e/exumda01.html",""
"Marcus Smart",2.7,160,4428,2014,"http://www.basketball-reference.com/players/s/smartma01.html","College"
"Julius Randle",-0.4,115,3267,2014,"http://www.basketball-reference.com/players/r/randlju01.html","College"
"Nik Stauskas",-1.3,177,3752,2014,"http://www.basketball-reference.com/players/s/stausni01.html","College"
"Noah Vonleh",-1.3,133,1787,2014,"http://www.basketball-reference.com/players/v/vonleno01.html","College"
"Elfrid Payton",1.8,192,5702,2014,"http://www.basketball-reference.com/players/p/paytoel01.html","College"
"Doug McDermott",-1,140,2788,2014,"http://www.basketball-reference.com/players/m/mcderdo01.html","College"
"Dario Saric",-0.4,33,795,2014,"http://www.basketball-reference.com/players/s/saricda01.html","Euro"
"Zach LaVine",0,193,5476,2014,"http://www.basketball-reference.com/players/l/lavinza01.html","College"
"T.J. Warren",0.2,110,2359,2014,"http://www.basketball-reference.com/players/w/warretj01.html","College"
"Adreian Payne",-1.2,94,1313,2014,"http://www.basketball-reference.com/players/p/paynead01.html","College"
"Jusuf Nurkic",0.7,125,2260,2014,"http://www.basketball-reference.com/players/n/nurkiju01.html","Euro"
"James Young",-0.3,71,595,2014,"http://www.basketball-reference.com/players/y/youngja01.html","College"
"Tyler Ennis",-1.2,101,1233,2014,"http://www.basketball-reference.com/players/e/ennisty01.html","College"
