"PlayerId","Player","DraftAge","Position","season","mp_per_g","fg_per_g","fga_per_g","fg2_per_g","fg2a_per_g","fg3_per_g","fg3a_per_g","ft_per_g","fta_per_g","orb_per_g","drb_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","tov_per_g","pf_per_g","pts_per_g","sos-dum","sos","fg_per_min","fga_per_min","fg2_per_min","fg2a_per_min","fg3_per_min","fg3a_per_min","ft_per_min","fta_per_min","trb_per_min","ast_per_min","stl_per_min","blk_per_min","tov_per_min","pf_per_min","pts_per_min","fg_per_poss","fga_per_poss","fg_pct","fg2_per_poss","fg2a_per_poss","fg2_pct","fg3_per_poss","fg3a_per_poss","fg3_pct","ft_per_poss","fta_per_poss","ft_pct","trb_per_poss","ast_per_poss","stl_per_poss","blk_per_poss","tov_per_poss","pf_per_poss","pts_per_poss","poss-dum","off_rtg","def_rtg","mp","per","ts_pct","efg_pct","fg3a_per_fga_pct","fta_per_fga_pct","pprod","orb_pct","drb_pct","trb_pct","ast_pct","stl_pct","blk_pct","tov_pct","usg_pct","ws-dum","ows","dws","ws","ws_per_40","bpm-dum","obpm","dbpm","bpm","games","school_link","conf_link","Year"
2085,"Mikal Bridges",21.3,"SF","2016-17",6.5,0.549,2.3,0.694,1.2,0.393,1.4,0.911,1.1,4.6,2,1.7,0.9,1.3,2.3,9.8,17,17,31.9,6.1,4.8,7.83,3.1,4.05,1.6,3.78,1.9,1.89,5.49,2.34,1.98,1.08,1.53,3.1,13.1,7.3,13.2,0.549,4.8,6.9,0.694,2.5,6.4,0.393,2.9,3.2,0.911,9.3,4,3.4,1.8,2.6,4.7,19.9,NA,130.4,93.3,1073,21,0.676,0.644,0.481,0.24,349,5.2,13.5,9.7,12,3.5,3.5,15.1,15.3,NA,3.1,2.4,5.5,0.205,NA,6.5,6.9,13.4,29.8,"http://www.sports-reference.com/cbb/schools/villanova/2017.html","http://www.sports-reference.com/cbb/conferences/big-east/2017.html",2017
2085,"Mikal Bridges",21.3,"SF","2017-18",3.6,6.4,0.565,5.8,0.429,3.5,0.831,4.6,6.1,1.8,1.4,1.6,2,17.5,NA,9.71,NA,9.28,NA,6.86,7.6,13.68,4.5,7.2,3.1,6.48,3.6,3.96,6.84,2.43,2.07,1.53,1.8,2.5,21.9,10.7,21.3,0.5,6.3,11.2,0.565,4.3,10.1,0.429,5.1,6.1,0.831,10.7,3.8,3.2,2.4,2.8,3.5,30.7,NA,127.7,94.4,542,27,0.635,0.602,0.476,0.286,277,5.7,16,11.1,11.6,3.2,4.3,10.3,23.9,NA,2.1,1.2,3.3,0.244,NA,7.2,5.2,12.4,12.1,"http://www.sports-reference.com/cbb/schools/villanova/2018.html","http://www.sports-reference.com/cbb/conferences/big-east/2018.html",2018
2086,"Robert Williams",20.2,"PF/C","2016-17",25.8,5,8.9,4.9,8.3,0.1,0.6,1.9,3.2,3,5.1,8.2,1.4,0.7,2.5,1.7,1.8,11.9,12,6,7.7,12.42,7.6,11.61,0.1,0.81,2.9,4.5,11.34,1.98,0.9,3.42,2.43,2.8,18.4,11.5,20.6,0.558,11.4,19.3,0.589,0.1,1.3,0.111,4.4,7.5,0.59,18.9,3.3,1.6,5.8,4,4.3,27.6,NA,113.5,95.7,801,27.2,0.57,0.562,0.065,0.362,350,13.6,21.2,17.6,12,1.6,10.5,14.3,23.6,NA,2,1.6,3.6,0.18,NA,2.6,7.2,9.8,31,"http://www.sports-reference.com/cbb/schools/texas-am/2017.html","http://www.sports-reference.com/cbb/conferences/sec/2017.html",2017
2086,"Robert Williams",20.2,"PF/C","2017-18",6.8,0.549,3.8,0.577,0,0,1.2,0.5,2.5,9.6,1.8,1,2.4,2,2.4,8.7,NA,7.97,NA,7.91,6.1,9.9,6.1,9.45,0,0.45,1.9,3.42,13.95,2.52,1.44,3.51,2.88,3.9,14,8.4,15.4,0.549,8.4,14.6,0.577,0,0.8,0,2.6,5.3,0.5,21.6,3.9,2.3,5.4,4.5,5.4,19.5,NA,103.6,84.1,297,22.1,0.546,0.549,0.049,0.341,108,11.2,27.9,20.1,12.8,2.3,10.4,20.1,19,NA,0.3,0.9,1.3,0.172,NA,0,10.5,10.5,24.8,"http://www.sports-reference.com/cbb/schools/texas-am/2018.html","http://www.sports-reference.com/cbb/conferences/sec/2018.html",2018
2087,"Kevin Knox",18.4,"SF/PF","2017-18",32.2,4.9,10.9,3.5,6.7,1.4,4.2,3.1,4.1,0.8,4.8,5.6,1.7,0.9,0.4,2.6,2.3,14.2,NA,8.02,6.1,12.24,4.4,7.47,1.7,4.77,3.9,4.59,6.21,1.89,0.99,0.36,2.88,2.9,17.7,8.5,19.1,0.446,6.2,11.7,0.526,2.4,7.4,0.319,5.4,7.2,0.757,9.8,3,1.5,0.6,4.5,4,24.9,NA,105.2,100,547,15.2,0.552,0.508,0.387,0.376,221,3.1,15.3,9.7,9.6,1.5,1.2,16.7,23.1,NA,0.8,0.9,1.7,0.123,NA,2.1,1.2,3.4,17,"http://www.sports-reference.com/cbb/schools/kentucky/2018.html","http://www.sports-reference.com/cbb/conferences/sec/2018.html",2018
2089,"Bruce Brown",21.4,"SG","2016-17",31.9,4.1,8.8,3.1,6,1,2.9,2.7,3.7,1.5,4.2,5.6,3.2,1.5,0.5,2,2.5,11.8,15,15,5.1,9.99,3.8,6.75,1.3,3.24,3.4,4.14,6.39,3.6,1.71,0.63,2.25,3.2,14.9,7.9,17.1,0.459,5.9,11.6,0.513,1.9,5.6,0.347,5.3,7.1,0.744,10.9,6.2,2.9,1.1,3.9,4.9,22.9,NA,114.2,97.6,1053,20.3,0.559,0.515,0.325,0.414,411,5.6,15.3,10.5,20.7,2.9,1.9,16.1,20.9,NA,2.4,2,4.4,0.167,NA,4.4,5,9.5,33,"http://www.sports-reference.com/cbb/schools/miami-fl/2017.html","http://www.sports-reference.com/cbb/conferences/acc/2017.html",2017
2089,"Bruce Brown",21.4,"SG","2017-18",9.6,0.424,3.3,0.5,0.8,0.261,2.3,0.625,1.3,7.1,3.9,1.3,0.7,2.1,2.1,11.3,NA,9.57,NA,1.24,4.8,10.26,3.9,6.93,0.9,3.24,2.8,3.96,7.56,4.14,1.35,0.81,2.25,2.5,13.4,7,16.6,0.424,5.6,11.3,0.5,1.4,5.3,0.261,4,6.4,0.625,12.2,6.7,2.2,1.3,3.7,3.7,19.5,NA,104.5,87.3,506,16.8,0.495,0.465,0.319,0.389,189,4.6,18.1,11.8,19.9,2.2,2.2,15.8,20.4,NA,0.6,1.5,2.1,0.166,NA,1.1,5.6,6.7,33.7,"http://www.sports-reference.com/cbb/schools/miami-fl/2018.html","http://www.sports-reference.com/cbb/conferences/acc/2018.html",2018
2090,"Troy Brown",18.4,"SG","2017-18",29.2,3.9,8.9,2.8,5.4,1.1,3.5,2.2,2.8,1.4,5.8,7.2,3,1.2,0.2,2.3,1.9,11.2,NA,2.98,5.4,10.98,3.9,6.57,1.5,4.32,3.1,3.42,8.91,3.69,1.44,0.27,2.79,2.7,15.4,7.5,16.9,0.444,5.4,10.2,0.527,2.1,6.7,0.317,4.2,5.3,0.809,13.7,5.7,2.2,0.4,4.4,3.7,21.3,NA,109.6,98.2,497,17.6,0.551,0.507,0.397,0.311,202,5.8,22.4,14.4,17.8,2.2,0.9,18.4,20.6,NA,0.9,0.9,1.8,0.145,NA,1.8,2.6,4.5,17,"http://www.sports-reference.com/cbb/schools/oregon/2018.html","http://www.sports-reference.com/cbb/conferences/pac-12/2018.html",2018
2091,"Lonnie Walker",19,"SG","2017-18",21.4,3.1,7.5,2.1,3.9,1.1,3.6,1.3,1.9,0.6,2.3,2.8,1.2,0.9,0.4,1.1,1.2,8.6,NA,1.24,5.8,12.6,3.8,6.57,2,5.94,2.3,3.15,4.68,1.98,1.44,0.63,1.89,2.2,16,8.5,20.4,0.417,5.6,10.7,0.524,2.9,9.7,0.298,3.4,5.1,0.667,7.6,3.2,2.4,1,3.1,3.2,23.3,NA,103.4,90.7,343,15.6,0.51,0.488,0.475,0.25,129,3.2,11,7.4,10.1,2.4,1.8,11.8,22.7,NA,0.4,0.9,1.3,0.15,NA,0.9,2.9,3.8,16,"http://www.sports-reference.com/cbb/schools/miami-fl/2018.html","http://www.sports-reference.com/cbb/conferences/acc/2018.html",2018
2092,"Wendell Carter Jr",18.7,"C","2017-18",24.5,5,8.5,4.5,7.4,0.5,1.1,2.9,4.2,3.1,5.7,8.8,1.8,0.6,1.8,1.7,3,13.4,NA,6.42,8.2,12.42,7.3,10.8,0.9,1.62,4.7,6.21,12.87,2.7,0.99,2.61,2.52,4.9,21.9,11.1,18.8,0.59,9.9,16.3,0.608,1.2,2.5,0.474,6.4,9.4,0.681,19.5,4.1,1.4,3.9,3.8,6.7,29.8,NA,130.3,96,416,29.1,0.64,0.622,0.132,0.5,223,14,23.4,19,11.6,1.4,7,14,22.4,NA,1.7,0.9,2.6,0.249,NA,6.8,5.6,12.4,17,"http://www.sports-reference.com/cbb/schools/duke/2018.html","http://www.sports-reference.com/cbb/conferences/acc/2018.html",2018
