"Player","DraftAge","Position","season","mp_per_g","fg_per_g","fga_per_g","fg2_per_g","fg2a_per_g","fg3_per_g","fg3a_per_g","ft_per_g","fta_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","tov_per_g","pf_per_g","pts_per_g","fg_per_min","fga_per_min","fg2_per_min","fg2a_per_min","fg3_per_min","fg3a_per_min","ft_per_min","fta_per_min","trb_per_min","ast_per_min","stl_per_min","blk_per_min","tov_per_min","pf_per_min","pts_per_min","fg_per_poss","fga_per_poss","fg_pct","fg2_per_poss","fg2a_per_poss","fg2_pct","fg3_per_poss","fg3a_per_poss","fg3_pct","ft_per_poss","fta_per_poss","ft_pct","trb_per_poss","ast_per_poss","stl_per_poss","blk_per_poss","tov_per_poss","pf_per_poss","pts_per_poss","off_rtg","def_rtg","mp","per","ts_pct","efg_pct","fg3a_per_fga_pct","fta_per_fga_pct","pprod","orb_pct","drb_pct","trb_pct","ast_pct","stl_pct","blk_pct","tov_pct","usg_pct","ows","dws","ws","ws_per_40","obpm","dbpm","bpm","games","school_link","conf_link","Year"
"Alec Peters",22.1,"Forward","2015-16",32.1,6,11.9,3.6,6.4,2.5,5.6,3.8,4.5,8.4,1.3,0.7,0.3,1.7,2.1,18.4,6.75,14.9,4.05,7.9,2.79,7,4.32,5.6,9.45,1.53,0.81,0.36,1.89,2.34,22.9,11,21.7,0.505,6.5,11.5,0.562,4.5,10.2,0.44,7,8.2,0.85,15.3,2.4,1.3,0.5,3.1,3.8,33.4,131.5,92.4,1186,27.2,0.651,0.607,0.468,0.378,605,8.8,19.5,14.3,9,1.3,1,10.8,24.3,5.1,2.8,7.9,0.268,6.8,1.7,8.5,37,"http://www.sports-reference.com/cbb/schools/valparaiso/2016.html","http://www.sports-reference.com/cbb/conferences/horizon/2016.html",2016
"Alec Peters",22.1,"Forward","2016-17",35.1,7.5,16.1,5.5,10.6,2,5.5,5.9,6.7,10.1,2.2,0.8,0.4,2.4,2.2,23,7.74,18.4,5.67,12.1,2.07,6.3,6.12,7.6,10.35,2.25,0.81,0.36,2.52,2.25,26.1,12.2,26.3,0.466,9,17.3,0.519,3.3,9,0.363,9.7,10.9,0.887,16.4,3.6,1.3,0.6,4,3.6,37.4,121,97.2,1019,28.8,0.594,0.528,0.342,0.415,625,8.5,23.3,16.2,14.8,1.3,1.2,11.2,30.8,4.2,1.9,6.1,0.241,6,0.5,6.4,29,"http://www.sports-reference.com/cbb/schools/valparaiso/2017.html","http://www.sports-reference.com/cbb/conferences/horizon/2017.html",2017
"Jaron Blossomgame",23.6,"Forward","2013-14",23.5,1.9,4.8,1.6,3.2,0.3,1.5,0.8,1.4,5,0.4,0.3,0.4,0.8,1.5,4.9,2.88,8.1,2.43,5.5,0.45,2.6,1.26,2.4,7.65,0.63,0.45,0.63,1.17,2.34,8.4,5.4,13.6,0.395,4.5,9.2,0.486,0.9,4.3,0.2,2.4,4.1,0.596,14.2,1.1,0.8,1.1,2.2,4.3,14,99.2,97.4,774,10.9,0.452,0.427,0.318,0.299,167,8.4,16.5,12.6,3.6,0.8,1.8,12.2,14.9,0.4,1.5,1.9,0.098,-1.2,2.5,1.2,33,"http://www.sports-reference.com/cbb/schools/clemson/2014.html","http://www.sports-reference.com/cbb/conferences/acc/2014.html",2014
"Jaron Blossomgame",23.6,"Forward","2014-15",30.9,4.6,9.5,4.1,7.6,0.5,1.9,3.3,4.6,8.2,1,0.8,0.4,1.7,1.5,13.1,5.4,12.4,4.77,9.9,0.63,2.5,3.87,6,9.54,1.17,0.9,0.45,2.07,1.71,17,9.6,19.7,0.486,8.4,15.8,0.536,1.1,3.9,0.288,6.8,9.6,0.708,16.8,2,1.6,0.7,3.6,3,27.1,112.9,96.9,958,22.5,0.558,0.515,0.199,0.486,383,9.2,21,15.1,7.8,1.6,1.3,12.9,23.5,2.4,1.7,4.1,0.172,3.1,1.9,5,31,"http://www.sports-reference.com/cbb/schools/clemson/2015.html","http://www.sports-reference.com/cbb/conferences/acc/2015.html",2015
"Jaron Blossomgame",23.6,"Forward","2015-16",34.2,6.5,12.6,5,9.4,1.5,3.3,4.3,5.5,6.7,1.5,0.7,1.3,1.8,2,18.7,6.84,14.8,5.31,10.9,1.53,3.8,4.5,6.4,7.02,1.62,0.81,1.35,1.89,2.16,21.9,11.9,23.2,0.513,9.2,17.2,0.538,2.7,6,0.441,7.9,10.1,0.782,12.3,2.8,1.4,2.4,3.3,3.7,34.4,122.4,100.8,1060,27.1,0.613,0.57,0.26,0.434,520,6.2,16.6,11.4,10.7,1.4,4.2,10.4,26.9,4,1.7,5.6,0.212,6.2,2.6,8.8,31,"http://www.sports-reference.com/cbb/schools/clemson/2016.html","http://www.sports-reference.com/cbb/conferences/acc/2016.html",2016
"Jaron Blossomgame",23.6,"Forward","2016-17",34.3,6.6,13.3,5.9,10.5,0.7,2.8,3.6,5.1,6.3,1.5,0.8,0.9,1.7,1.6,17.6,6.93,15.5,6.21,12.2,0.72,3.3,3.78,5.9,6.57,1.62,0.9,0.99,1.8,1.71,20.5,11.4,22.9,0.498,10.2,18,0.564,1.3,4.9,0.255,6.2,8.7,0.713,10.8,2.7,1.4,1.6,2.9,2.8,30.3,115.5,107.1,1133,23,0.559,0.525,0.214,0.38,538,5.9,15.5,10.6,9.7,1.4,2.9,9.7,25.8,3.2,1.1,4.3,0.151,4.1,1.5,5.6,33,"http://www.sports-reference.com/cbb/schools/clemson/2017.html","http://www.sports-reference.com/cbb/conferences/acc/2017.html",2017
"TJ Leaf",20,"Forward","2016-17",29.9,6.7,10.9,5.9,9.2,0.8,1.7,2.1,3,8.2,2.4,0.6,1.1,1.5,2.5,16.3,8.1,14.5,7.11,12.3,0.9,2.2,2.43,4,9.9,2.88,0.72,1.35,1.8,3.06,21.7,12.1,19.6,0.617,10.7,16.6,0.644,1.4,3,0.466,3.7,5.5,0.679,14.8,4.4,1.1,2,2.7,4.6,29.3,130.6,101.2,1048,26.6,0.66,0.652,0.152,0.278,536,9,19.7,14.9,13.2,1.1,3.5,10.8,22,4.2,1.6,5.8,0.22,6.7,3,9.7,35,"http://www.sports-reference.com/cbb/schools/ucla/2017.html","http://www.sports-reference.com/cbb/conferences/pac-12/2017.html",2017
"Donovan Mitchell",20.7,"Guard","2015-16",19.1,2.7,6.1,2.1,3.8,0.6,2.3,1.4,1.8,3.4,1.7,0.8,0.1,1,2.5,7.4,5.13,12.9,4.05,8,1.08,4.9,2.61,3.9,6.3,3.15,1.53,0.18,1.8,4.77,15.5,8.6,19.4,0.442,6.7,12,0.559,1.8,7.3,0.25,4.4,5.8,0.754,10.6,5.3,2.5,0.3,3.1,7.9,23.3,116,93.3,591,18.2,0.527,0.489,0.379,0.3,233,6.6,13.5,10.1,15.8,2.5,0.6,12.1,20.9,1.4,1.3,2.8,0.187,4.4,3.6,8,31,"http://www.sports-reference.com/cbb/schools/louisville/2016.html","http://www.sports-reference.com/cbb/conferences/acc/2016.html",2016
"Donovan Mitchell",20.7,"Guard","2016-17",32.3,5.3,13.1,3,6.4,2.4,6.6,2.6,3.2,4.9,2.7,2.1,0.5,1.6,2.6,15.6,5.94,16.2,3.33,7.9,2.61,8.2,2.88,3.9,5.4,3.06,2.34,0.54,1.8,2.88,19.3,9.6,23.6,0.408,5.4,11.6,0.463,4.2,12,0.354,4.6,5.7,0.806,8.8,4.9,3.7,0.9,3,4.7,28.1,116.1,94,1098,21.7,0.534,0.498,0.509,0.243,503,3.7,12.9,8.3,16,3.7,1.7,10.2,24.6,3,2.4,5.4,0.197,6.8,4.8,11.6,34,"http://www.sports-reference.com/cbb/schools/louisville/2017.html","http://www.sports-reference.com/cbb/conferences/acc/2017.html",2017
"Justin Patton",19.9,"Center","2016-17",25.3,5.7,8.5,5.5,8,0.2,0.4,1.3,2.5,6.2,1.2,0.9,1.4,1.7,2.7,12.9,8.1,13.4,7.83,12.7,0.36,0.7,1.8,3.9,8.82,1.71,1.26,2.07,2.43,3.87,20.5,12.4,18.4,0.676,11.9,17.4,0.683,0.5,0.9,0.533,2.8,5.4,0.517,13.5,2.5,1.9,3.1,3.7,6,28.1,119.8,96,885,25.3,0.671,0.689,0.051,0.294,406,8,19,13.8,8.5,1.9,5.9,15.1,22,2.5,1.8,4.3,0.195,4.4,6.2,10.6,35,"http://www.sports-reference.com/cbb/schools/creighton/2017.html","http://www.sports-reference.com/cbb/conferences/big-east/2017.html",2017
"Johnathan Motley",22,"Forward","2014-15",21.5,2.9,7.1,2.9,6.6,0.1,0.4,1.8,2.8,4.2,0.7,0.4,1.4,1.6,2.9,7.7,4.95,13.2,4.77,12.3,0.18,0.8,2.97,5.3,7.02,1.17,0.72,2.25,2.7,4.77,14.4,8.7,20.9,0.417,8.5,19.6,0.431,0.3,1.3,0.2,5.2,8.4,0.625,12.5,2,1.2,4,4.8,8.5,22.9,97.1,97.5,730,14.6,0.46,0.423,0.063,0.4,257,12,10.5,11.3,6.9,1.2,7.3,16.1,24.1,0.6,1.3,1.9,0.101,-1,4.7,3.7,34,"http://www.sports-reference.com/cbb/schools/baylor/2015.html","http://www.sports-reference.com/cbb/conferences/big-12/2015.html",2015
"Johnathan Motley",22,"Forward","2015-16",20.9,4.5,7.3,4.5,7.3,0,0.1,2.1,3.4,5.1,0.9,0.5,1.1,1.5,3,11.1,7.74,14,7.74,13.9,0,0.1,3.6,6.6,8.82,1.53,0.9,1.98,2.52,5.13,21.2,12.7,20.7,0.614,12.7,20.6,0.619,0,0.2,0,5.9,9.7,0.607,14.5,2.5,1.5,3.2,4.2,8.5,31.4,118.9,102,711,25.4,0.619,0.614,0.008,0.47,332,13,16.7,14.8,9.1,1.5,6.3,14.1,24.6,2.2,1,3.2,0.18,5.1,3.5,8.6,34,"http://www.sports-reference.com/cbb/schools/baylor/2016.html","http://www.sports-reference.com/cbb/conferences/big-12/2016.html",2016
"Johnathan Motley",22,"Forward","2016-17",30.5,6.6,12.7,6.4,11.8,0.3,0.9,3.8,5.4,9.9,2.3,0.4,1.1,2.9,3.1,17.3,7.83,16.7,7.56,15.5,0.27,1.2,4.41,7.1,11.61,2.79,0.45,1.26,3.51,3.6,22.7,13.3,25.6,0.522,12.8,23.7,0.541,0.5,1.9,0.281,7.6,10.8,0.699,19.8,4.7,0.7,2.1,5.9,6.1,34.8,113.8,96.3,1036,26.7,0.566,0.532,0.074,0.423,577,15.2,22.9,19.2,17.3,0.7,3.8,16.1,30.6,3.3,2,5.4,0.208,5.1,4.8,9.9,34,"http://www.sports-reference.com/cbb/schools/baylor/2017.html","http://www.sports-reference.com/cbb/conferences/big-12/2017.html",2017
"Luke Kennard",20.9,"Guard","2015-16",26.7,3.9,9.3,2.4,4.5,1.5,4.8,2.4,2.8,3.6,1.5,0.9,0.2,0.8,1.9,11.8,5.31,14,3.24,6.8,2.07,7.2,3.33,4.1,4.86,2.07,1.26,0.18,1.08,2.61,17.7,8.6,20.5,0.42,5.2,9.9,0.528,3.3,10.5,0.318,5.4,6,0.889,7.9,3.3,2.1,0.4,1.7,4.2,25.9,123.1,108,961,19.5,0.555,0.501,0.515,0.295,401,4.1,10.7,7.4,10.8,2.1,0.6,6.8,21.4,2.9,0.9,3.7,0.156,5.6,0.7,6.3,36,"http://www.sports-reference.com/cbb/schools/duke/2016.html","http://www.sports-reference.com/cbb/conferences/acc/2016.html",2016
"Luke Kennard",20.9,"Guard","2016-17",35.5,6.4,13.1,4,7.6,2.4,5.4,4.3,5.1,5.1,2.5,0.8,0.4,1.6,2.2,19.5,6.48,14.7,4.05,8.6,2.43,6.1,4.41,5.7,5.13,2.52,0.81,0.36,1.62,2.25,22,10.3,21.1,0.49,6.5,12.3,0.527,3.8,8.8,0.438,7,8.1,0.856,8.2,4,1.3,0.6,2.6,3.6,31.4,130.6,104.4,1314,24.4,0.63,0.581,0.415,0.386,673,3.9,12.1,8.2,13.6,1.3,0.9,9.3,24,5.5,1.6,7.2,0.218,8.4,1.2,9.5,37,"http://www.sports-reference.com/cbb/schools/duke/2017.html","http://www.sports-reference.com/cbb/conferences/acc/2017.html",2017
"Omer Yurtseven",18.9,"Center","2016-17",18.9,2.4,5.3,2.4,5.1,0,0.1,1,1.5,4.4,1.2,0.2,0.7,1.3,2.8,5.9,4.59,11.2,4.5,10.9,0.09,0.3,1.98,3.1,8.28,2.25,0.36,1.35,2.43,5.4,12.5,7.1,15.5,0.457,7,15.1,0.46,0.1,0.4,0.333,3.1,4.3,0.719,12.8,3.5,0.5,2.1,3.7,8.3,17.4,100,110.8,416,12.5,0.495,0.461,0.026,0.276,140,8.4,16.9,12.8,11.1,0.5,3.8,17.6,18.6,0.3,0.3,0.6,0.056,-1.4,1.4,0,22,"http://www.sports-reference.com/cbb/schools/north-carolina-state/2017.html","http://www.sports-reference.com/cbb/conferences/acc/2017.html",2017
"Marques Bolden",19.1,"Center","2016-17",6.5,0.7,1.5,0.7,1.5,0,0,0.2,0.3,1.1,0.1,0.1,0.3,0.5,1.3,1.5,3.69,8.9,3.69,8.9,0,0,1.17,2,5.94,0.45,0.45,1.62,2.52,7.38,9.4,5.8,12.8,0.457,5.8,12.8,0.457,0,0,NA,1.8,2.9,0.625,9.5,0.7,0.7,2.6,4,11.7,13.5,92.4,104.7,157,7.2,0.477,0.457,0,0.229,41,10.7,8.4,9.5,2.2,0.7,4.2,22.1,15.8,0,0.2,0.2,0.051,-2.3,2.2,-0.1,24,"http://www.sports-reference.com/cbb/schools/duke/2017.html","http://www.sports-reference.com/cbb/conferences/acc/2017.html",2017
"Grayson Allen",21.6,"Guard","2014-15",9.2,1.3,3,0.8,1.5,0.5,1.5,1.3,1.5,1,0.4,0.3,0.1,0.4,1.2,4.4,5.04,13.2,3.06,6.7,1.98,6.5,5.04,6.6,3.87,1.53,1.08,0.54,1.71,4.68,19,8.5,20,0.425,5.1,10.2,0.5,3.4,9.8,0.346,8.5,10,0.849,6.6,2.6,1.9,0.9,2.8,7.9,28.8,122.2,100.3,322,19.3,0.583,0.509,0.491,0.5,138,3.5,8.9,6.4,7.8,1.9,1.5,10.3,23.5,1.1,0.5,1.5,0.192,5.1,0.5,5.6,35,"http://www.sports-reference.com/cbb/schools/duke/2015.html","http://www.sports-reference.com/cbb/conferences/acc/2015.html",2015
"Grayson Allen",21.6,"Guard","2015-16",36.6,6.6,14.3,4.1,8.3,2.5,6,5.9,7,4.6,3.5,1.3,0.1,2,2.7,21.6,6.57,15.6,4.05,9,2.43,6.6,5.76,7.7,4.5,3.51,1.26,0.18,1.98,2.7,23.7,10.6,22.8,0.466,6.6,13.2,0.502,4,9.6,0.417,9.4,11.2,0.837,7.3,5.6,2.1,0.2,3.2,4.4,34.6,128.5,107.6,1317,26.1,0.616,0.554,0.421,0.491,733,2,11.7,6.9,19.4,2.1,0.3,10.2,26.8,5.9,1.2,7.2,0.217,9,0.7,9.7,36,"http://www.sports-reference.com/cbb/schools/duke/2016.html","http://www.sports-reference.com/cbb/conferences/acc/2016.html",2016
"Grayson Allen",21.6,"Guard","2016-17",29.6,4.1,10.5,1.8,3.9,2.4,6.5,3.8,4.7,3.7,3.5,0.8,0.1,2.2,2.3,14.5,5.04,14.1,2.16,5.3,2.88,8.8,4.59,6.3,4.5,4.23,0.9,0.09,2.61,2.79,19.5,8,20.2,0.396,3.4,7.6,0.448,4.6,12.6,0.365,7.3,9,0.811,7.2,6.8,1.5,0.1,4.2,4.4,28,116.7,104.8,1007,19.3,0.57,0.51,0.624,0.447,499,2.7,11.3,7.2,21.5,1.5,0.2,14.6,25.1,3,1.2,4.2,0.166,6.5,0.5,7,34,"http://www.sports-reference.com/cbb/schools/duke/2017.html","http://www.sports-reference.com/cbb/conferences/acc/2017.html",2017
"Jawun Evans",20.8,"Guard","2015-16",28.9,4.4,9.4,3.5,7.5,0.9,1.8,3.2,3.8,4.4,4.9,1.1,0.2,2.5,2.5,12.9,5.49,13,4.41,10.5,1.08,2.5,3.96,5.3,5.4,6.12,1.44,0.27,3.15,3.06,17.8,9.4,20,0.471,7.6,16.1,0.47,1.8,3.9,0.475,6.8,8.1,0.833,9.3,10.5,2.4,0.4,5.4,5.2,27.4,111.8,101.6,635,22,0.575,0.517,0.194,0.408,301,1.9,14.8,8.7,41.9,2.4,0.7,18.5,25.5,1.6,0.9,2.6,0.162,5.3,2.2,7.5,22,"http://www.sports-reference.com/cbb/schools/oklahoma-state/2016.html","http://www.sports-reference.com/cbb/conferences/big-12/2016.html",2016
"Jawun Evans",20.8,"Guard","2016-17",29.3,6.6,15.1,5.5,12.1,1.1,3,4.8,6,3.4,6.4,1.8,0.1,2.8,2.3,19.2,8.1,20.6,6.75,16.5,1.35,4.1,5.94,8.2,4.23,7.83,2.16,0.18,3.42,2.88,26.2,12.4,28.3,0.438,10.3,22.7,0.452,2.1,5.6,0.379,9.1,11.2,0.812,6.5,12,3.3,0.2,5.3,4.3,36,118.7,108.2,936,27.3,0.535,0.475,0.197,0.396,659,2.8,10.9,6.8,43.6,3.3,0.5,13.6,32.7,4,0.8,4.8,0.206,7.7,1.4,9.1,32,"http://www.sports-reference.com/cbb/schools/oklahoma-state/2017.html","http://www.sports-reference.com/cbb/conferences/big-12/2017.html",2017
"John Collins",19.6,"Forward","2015-16",14.4,2.6,4.8,2.6,4.8,0,0,2.1,3,3.9,0.2,0.3,0.7,1,2.6,7.3,6.57,13.3,6.57,13.3,0,0,5.22,8.4,9.81,0.54,0.72,1.89,2.52,6.66,20.4,10.1,18.5,0.547,10.1,18.5,0.547,0,0,NA,8.1,11.7,0.691,15.2,0.9,1.1,2.9,3.9,10.2,28.3,114.6,108.5,446,21.8,0.589,0.547,0,0.635,210,12.7,16.7,14.7,3.5,1.1,5,13.9,23.9,1.1,0.4,1.5,0.135,0.8,0.7,1.5,31,"http://www.sports-reference.com/cbb/schools/wake-forest/2016.html","http://www.sports-reference.com/cbb/conferences/acc/2016.html",2016
"John Collins",19.6,"Forward","2016-17",26.6,7.1,11.4,7.1,11.4,0,0,5,6.7,9.8,0.5,0.6,1.6,1.8,3,19.2,9.63,17.1,9.63,17.1,0,0,6.75,10,13.32,0.72,0.9,2.16,2.43,4.05,28.8,14.9,23.9,0.622,14.9,23.8,0.624,0,0.1,0,10.4,14,0.745,20.6,1.1,1.3,3.3,3.8,6.2,40.1,129.9,105,878,35.9,0.658,0.622,0.003,0.585,579,16.4,25.6,21.1,4.5,1.3,6.6,11.1,29.9,4.6,1,5.6,0.256,6.6,1.3,7.9,33,"http://www.sports-reference.com/cbb/schools/wake-forest/2017.html","http://www.sports-reference.com/cbb/conferences/acc/2017.html",2017
"Wesley Iwundu",22.4,"Forward","2013-14",23.6,2.2,4.7,1.9,4.2,0.2,0.5,2.2,3.4,4.2,1.8,0.6,0.4,1.3,2.2,6.7,3.24,7.9,2.97,7,0.36,0.9,3.24,5.7,6.39,2.79,0.9,0.54,1.98,3.24,11.3,5.6,12,0.461,5,10.7,0.467,0.5,1.3,0.412,5.6,8.8,0.634,10.9,4.8,1.5,0.9,3.3,5.6,17.2,108.6,100.4,780,13.9,0.531,0.484,0.11,0.727,232,6.3,14.2,10.2,15.4,1.5,1.7,16.9,16.4,1,1.3,2.3,0.119,0.5,4.4,4.9,33,"http://www.sports-reference.com/cbb/schools/kansas-state/2014.html","http://www.sports-reference.com/cbb/conferences/big-12/2014.html",2014
"Wesley Iwundu",22.4,"Forward","2014-15",25.2,2,5,1.8,4.4,0.2,0.6,1.5,2.5,3.5,2,0.7,0.6,2,2.1,5.8,2.88,8,2.61,7,0.27,1,2.16,4.1,4.95,2.79,1.08,0.9,2.88,2.97,9.2,5.1,12.7,0.404,4.6,11.1,0.416,0.5,1.5,0.316,3.8,6.4,0.595,8.8,5,1.9,1.6,5,5.3,14.6,88.1,102.2,780,9.9,0.462,0.423,0.122,0.506,196,5.6,12.3,9,17.1,1.9,3,24.3,17.8,-0.1,1,0.9,0.045,-1.3,4,2.8,31,"http://www.sports-reference.com/cbb/schools/kansas-state/2015.html","http://www.sports-reference.com/cbb/conferences/big-12/2015.html",2015
"Wesley Iwundu",22.4,"Forward","2015-16",32.4,4.2,8.9,4.1,8,0.2,0.9,3.3,4.7,4.5,3.7,1.3,0.2,2.9,2.4,11.9,4.68,11,4.5,9.8,0.18,1.1,3.6,5.8,5.04,4.14,1.44,0.27,3.24,2.61,14.7,7.8,16.2,0.478,7.4,14.6,0.51,0.3,1.7,0.2,6,8.6,0.697,8.3,6.8,2.4,0.4,5.3,4.3,21.8,103.7,101.2,1070,16,0.537,0.488,0.102,0.529,407,4.1,12.6,8.2,24.6,2.4,0.9,20.6,21.4,1.4,1.6,3,0.112,1.7,3.5,5.2,33,"http://www.sports-reference.com/cbb/schools/kansas-state/2016.html","http://www.sports-reference.com/cbb/conferences/big-12/2016.html",2016
"Wesley Iwundu",22.4,"Forward","2016-17",31.4,4.3,9,3.4,6.5,0.9,2.4,3.5,4.5,6.3,3.5,1,0.3,2.3,1.8,13,4.95,11.4,3.87,8.3,1.08,3.1,3.96,5.8,7.29,3.96,1.17,0.36,2.7,2.07,16.6,8.1,16.9,0.481,6.4,12.3,0.52,1.7,4.6,0.376,6.6,8.6,0.767,11.9,6.5,1.9,0.6,4.4,3.4,24.6,113.5,99.9,1098,20.1,0.585,0.532,0.271,0.506,466,4.1,19.9,12.3,22.9,1.9,1.2,17.2,22.3,2.6,1.8,4.4,0.16,4.2,3.4,7.6,35,"http://www.sports-reference.com/cbb/schools/kansas-state/2017.html","http://www.sports-reference.com/cbb/conferences/big-12/2017.html",2017
"Devonte Graham",22.2,"Guard","2014-15",17.8,1.6,4,1,2.7,0.6,1.4,1.9,2.6,1.5,2.1,0.9,0,1.1,1.5,5.7,3.24,9.1,1.98,6,1.17,3.1,3.87,5.9,2.97,4.23,1.71,0,2.34,3.06,12.7,5.3,13.6,0.393,3.4,8.9,0.377,2,4.6,0.425,6.4,8.8,0.724,5,7.1,2.9,0,3.8,5.1,19,109.7,100.6,517,14.7,0.536,0.466,0.342,0.65,174,1.8,7.1,4.6,23,2.9,0,17.7,18.3,0.9,0.7,1.7,0.128,3.6,1.7,5.4,29,"http://www.sports-reference.com/cbb/schools/kansas/2015.html","http://www.sports-reference.com/cbb/conferences/big-12/2015.html",2015
"Devonte Graham",22.2,"Guard","2015-16",32.6,3.8,8.2,1.8,3.8,2,4.5,1.8,2.4,3.3,3.7,1.4,0.1,1.7,2.1,11.3,4.23,10.1,1.98,4.6,2.16,5.5,1.98,2.9,3.69,4.05,1.62,0.18,1.89,2.34,13.9,6.7,14.5,0.46,3.2,6.6,0.483,3.5,7.9,0.441,3.1,4.2,0.744,5.9,6.5,2.5,0.2,3,3.8,19.9,120.7,98.6,1238,16.8,0.604,0.58,0.543,0.288,436,1.3,9.9,5.9,19.1,2.5,0.4,15.2,16.9,2.9,2.2,5.1,0.164,6.2,3.7,9.9,38,"http://www.sports-reference.com/cbb/schools/kansas/2016.html","http://www.sports-reference.com/cbb/conferences/big-12/2016.html",2016
"Devonte Graham",22.2,"Guard","2016-17",35.3,4.4,10.2,1.8,3.5,2.6,6.7,2,2.6,3.1,4.1,1.5,0.2,1.8,1.6,13.4,4.41,11.6,1.8,3.9,2.7,7.6,2.07,2.9,3.15,4.23,1.53,0.18,1.8,1.62,15.2,6.9,16.2,0.428,2.8,5.5,0.504,4.1,10.7,0.388,3.2,4.1,0.793,4.9,6.6,2.4,0.3,2.8,2.5,21.2,121.7,103.4,1269,17.4,0.586,0.556,0.659,0.251,487,1.6,7.9,4.9,19.2,2.4,0.6,13.5,18,3.3,1.7,4.9,0.155,6.8,2.2,9,36,"http://www.sports-reference.com/cbb/schools/kansas/2017.html","http://www.sports-reference.com/cbb/conferences/big-12/2017.html",2017
"Justin Jackson",22.1,"Forward","2014-15",26.7,4.1,8.7,3.4,6.2,0.7,2.4,1.7,2.4,3.7,2.3,0.5,0.5,1.4,1.4,10.7,5.58,13,4.59,9.3,0.99,3.6,2.34,3.7,4.95,3.15,0.72,0.63,1.89,1.98,16.1,9,18.8,0.477,7.4,13.5,0.544,1.6,5.2,0.304,3.8,5.3,0.71,7.9,5,1.1,1.1,3,3.1,23.3,116.4,104.6,1014,17.8,0.547,0.52,0.28,0.283,393,6,8.9,7.5,15.4,1.1,2,12.2,20.2,2.5,1.1,3.6,0.141,5.3,2.4,7.7,38,"http://www.sports-reference.com/cbb/schools/north-carolina/2015.html","http://www.sports-reference.com/cbb/conferences/acc/2015.html",2015
"Justin Jackson",22.1,"Forward","2015-16",28.4,4.9,10.4,4,7.4,0.9,3,1.6,2.4,3.9,2.8,0.6,0.4,1.1,1.7,12.2,6.12,14.7,5.04,10.4,1.08,4.2,2.07,3.4,4.95,3.51,0.81,0.54,1.35,2.16,17.2,9.7,20.9,0.466,8,14.8,0.537,1.8,6,0.292,3.2,4.8,0.667,7.8,5.6,1.3,0.9,2.2,3.5,24.4,120.7,106,1135,18.9,0.528,0.508,0.288,0.231,485,7.2,7.9,7.6,16.3,1.3,1.6,8.5,21,3.2,1.2,4.4,0.156,5.9,2.3,8.2,40,"http://www.sports-reference.com/cbb/schools/north-carolina/2016.html","http://www.sports-reference.com/cbb/conferences/acc/2016.html",2016
"Justin Jackson",22.1,"Forward","2016-17",32,6.6,14.9,4,7.8,2.6,7.1,2.5,3.3,4.7,2.8,0.8,0.2,1.7,1.4,18.3,7.38,18.6,4.5,9.7,2.97,8.9,2.79,4.1,5.22,3.15,0.9,0.27,1.98,1.53,22.8,11.3,25.6,0.443,6.8,13.4,0.51,4.5,12.2,0.37,4.2,5.6,0.748,8,4.9,1.3,0.4,3,2.4,31.4,121,102.2,1281,21.3,0.555,0.531,0.477,0.22,660,4.8,10.8,7.8,15.8,1.3,0.8,9.5,25.7,4.3,1.8,6.1,0.19,7.5,1.9,9.4,40,"http://www.sports-reference.com/cbb/schools/north-carolina/2017.html","http://www.sports-reference.com/cbb/conferences/acc/2017.html",2017
"Sviatoslav Mykhailiuk",19.9,"Guard","2014-15",11.2,1,3.3,0.4,1.3,0.6,2,0.2,0.2,1.2,0.7,0.3,0,0.6,0.7,2.8,3.24,11.7,1.35,4.5,1.89,7.1,0.63,0.8,3.87,2.07,0.99,0.09,1.89,2.07,9.9,5.4,17.5,0.306,2.3,6.8,0.333,3.1,10.7,0.288,1,1.2,0.833,6.4,3.5,1.6,0.2,3.1,3.5,14.8,88.7,102.8,291,7.2,0.41,0.394,0.612,0.071,72,3.3,8.3,5.9,11.4,1.6,0.4,14.6,18,0,0.4,0.3,0.045,0.5,1,1.5,26,"http://www.sports-reference.com/cbb/schools/kansas/2015.html","http://www.sports-reference.com/cbb/conferences/big-12/2015.html",2015
"Sviatoslav Mykhailiuk",19.9,"Guard","2015-16",12.8,1.9,4.3,0.9,1.6,1.1,2.6,0.5,0.7,1.3,0.9,0.3,0.1,0.7,1.2,5.4,5.4,13.3,2.43,5.1,2.97,8.2,1.35,2.2,3.78,2.61,0.99,0.36,2.07,3.33,16.7,8.6,19,0.45,3.8,7.3,0.526,4.7,11.7,0.402,2.2,3.2,0.68,6,4.1,1.5,0.6,3.3,5.4,24,113.4,101,449,15.7,0.584,0.574,0.617,0.168,173,3.3,8.3,6,12.7,1.5,1.2,13.9,20.8,0.9,0.7,1.6,0.144,4.8,1.5,6.4,35,"http://www.sports-reference.com/cbb/schools/kansas/2016.html","http://www.sports-reference.com/cbb/conferences/big-12/2016.html",2016
