"Player","DraftAge","Position","season","mp_per_g","fg_per_g","fga_per_g","fg2_per_g","fg2a_per_g","fg3_per_g","fg3a_per_g","ft_per_g","fta_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","tov_per_g","pf_per_g","pts_per_g","fg_per_min","fga_per_min","fg2_per_min","fg2a_per_min","fg3_per_min","fg3a_per_min","ft_per_min","fta_per_min","trb_per_min","ast_per_min","stl_per_min","blk_per_min","tov_per_min","pf_per_min","pts_per_min","fg_per_poss","fga_per_poss","fg_pct","fg2_per_poss","fg2a_per_poss","fg2_pct","fg3_per_poss","fg3a_per_poss","fg3_pct","ft_per_poss","fta_per_poss","ft_pct","trb_per_poss","ast_per_poss","stl_per_poss","blk_per_poss","tov_per_poss","pf_per_poss","pts_per_poss","off_rtg","def_rtg","mp","per","ts_pct","efg_pct","fg3a_per_fga_pct","fta_per_fga_pct","pprod","orb_pct","drb_pct","trb_pct","ast_pct","stl_pct","blk_pct","tov_pct","usg_pct","ows","dws","ws","ws_per_40","obpm","dbpm","bpm","games","school_link","conf_link","Year"
"DeAaron Fox",19.4,"Guard","2016-17",29.6,5.9,12.4,5.5,10.5,0.5,1.9,4.3,5.9,3.9,4.6,1.5,0.2,2.4,2.5,16.7,7.2,16.8,6.66,14.2,0.54,2.6,5.31,7.9,4.77,5.58,1.8,0.27,2.97,3.06,22.6,10.8,22.6,0.478,9.9,19.1,0.52,0.9,3.5,0.246,7.9,10.7,0.739,7.2,8.3,2.7,0.4,4.4,4.5,30.4,113.4,96.8,1064,22.6,0.548,0.497,0.154,0.471,608,2,12.2,7.2,28.6,2.7,0.7,13.7,27.6,3,2.1,5.1,0.192,5.1,3.7,8.7,36,"http://www.sports-reference.com/cbb/schools/kentucky/2017.html","http://www.sports-reference.com/cbb/conferences/sec/2017.html",2017
"Harry Giles",19,"Forward","2016-17",11.5,1.7,3,1.7,3,0,0,0.5,0.9,3.8,0.3,0.3,0.7,0.7,2.2,3.9,5.4,10.4,5.4,10.4,0,0,1.44,3.2,11.97,1.08,1.08,2.07,2.16,6.93,13.6,8.6,14.9,0.577,8.6,14.9,0.577,0,0,NA,2.3,4.6,0.5,19.1,1.7,1.7,3.2,3.4,11.1,19.5,115.1,96.6,300,19.8,0.57,0.577,0,0.308,113,16.4,21.5,19.1,5.6,1.7,5.3,16.8,17.9,0.6,0.6,1.2,0.164,1.9,4.4,6.3,26,"http://www.sports-reference.com/cbb/schools/duke/2017.html","http://www.sports-reference.com/cbb/conferences/acc/2017.html",2017
"Miles Bridges",19.1,"Guard","2016-17",32,6.3,13,4.3,7.9,2,5.1,2.3,3.3,8.3,2.1,0.7,1.5,2.4,1.9,16.9,7.11,16.3,4.86,9.8,2.25,6.4,2.52,4.1,9.36,2.34,0.72,1.71,2.61,2.07,21.1,11.6,23.9,0.486,7.9,14.4,0.55,3.7,9.4,0.389,4.1,6,0.685,15.2,3.8,1.2,2.8,4.3,3.4,31,108.4,96.8,895,23.1,0.58,0.563,0.396,0.253,417,5.7,23.1,15,14.5,1.2,4.9,13.9,27.3,1.8,1.7,3.6,0.16,4.8,4.9,9.7,28,"http://www.sports-reference.com/cbb/schools/michigan-state/2017.html","http://www.sports-reference.com/cbb/conferences/big-ten/2017.html",2017
"Ivan Rabb",20.3,"Forward","2015-16",28.7,4.7,7.7,4.7,7.6,0,0.1,3,4.5,8.5,0.9,0.5,1.2,1.5,3.1,12.5,5.94,10.7,5.94,10.7,0,0.1,3.78,6.3,10.71,1.17,0.63,1.53,1.89,3.87,17.5,9.7,15.7,0.615,9.6,15.6,0.615,0.1,0.1,0.5,6.2,9.3,0.669,17.4,1.9,1.1,2.5,3.1,6.3,25.6,124.8,95.3,975,24.2,0.636,0.616,0.008,0.588,413,11.3,21.3,16.5,6.6,1.1,4.1,13.4,20,3.1,2,5.1,0.21,3.9,4.8,8.7,34,"http://www.sports-reference.com/cbb/schools/california/2016.html","http://www.sports-reference.com/cbb/conferences/pac-12/2016.html",2016
"Ivan Rabb",20.3,"Forward","2016-17",32.6,4.9,10.1,4.6,9.4,0.3,0.6,4,6,10.5,1.5,0.7,1,2.2,3.1,14,5.4,12.3,5.13,11.5,0.27,0.8,4.41,7.4,11.52,1.71,0.72,1.08,2.34,3.42,17.2,9,18.6,0.484,8.5,17.4,0.49,0.5,1.2,0.4,7.4,11.1,0.663,19.3,2.9,1.3,1.8,4,5.7,25.9,109.9,91.6,1012,21.7,0.541,0.497,0.064,0.599,432,10.7,25.7,18.3,10.9,1.3,3.3,14.3,23.8,2.1,2.4,4.6,0.181,1.5,5.2,6.7,31,"http://www.sports-reference.com/cbb/schools/california/2017.html","http://www.sports-reference.com/cbb/conferences/pac-12/2017.html",2017
"Thomas Bryant",19.8,"Center","2015-16",22.6,4.5,6.6,4.3,6.1,0.1,0.4,2.7,3.9,5.8,1,0.5,0.9,1.7,2.8,11.9,7.11,11.6,6.93,10.9,0.27,0.8,4.41,6.9,9.18,1.53,0.81,1.44,2.61,4.5,21,11.5,16.8,0.683,11.1,15.7,0.707,0.4,1.1,0.333,7,10,0.706,14.8,2.5,1.2,2.3,4.2,7.2,30.4,130,100.3,791,26.6,0.704,0.693,0.065,0.591,380,11.2,19,15.3,8.1,1.2,4.1,16.4,22.1,3.1,1.3,4.4,0.223,5.9,2.8,8.7,35,"http://www.sports-reference.com/cbb/schools/indiana/2016.html","http://www.sports-reference.com/cbb/conferences/big-ten/2016.html",2016
"Thomas Bryant",19.8,"Center","2016-17",28.1,4.4,8.4,3.7,6.6,0.7,1.8,3.2,4.4,6.6,1.5,0.8,1.5,2.3,3.1,12.6,5.58,11.9,4.68,9.4,0.9,2.5,4.05,6.2,8.55,1.89,0.99,1.98,2.97,3.96,17.9,8.9,17.2,0.519,7.5,13.6,0.556,1.4,3.6,0.383,6.5,8.9,0.73,13.6,3,1.6,3.1,4.7,6.3,25.8,115.4,101.9,954,21.6,0.601,0.56,0.211,0.519,419,9.7,17.2,13.7,9.8,1.6,5.7,18,22.2,2.4,1.4,3.8,0.159,3.6,3.9,7.5,34,"http://www.sports-reference.com/cbb/schools/indiana/2017.html","http://www.sports-reference.com/cbb/conferences/big-ten/2017.html",2017
"Bam Adebayo",19.8,"Forward","2016-17",30.1,4.5,7.5,4.5,7.4,0,0,4.1,6.2,8,0.8,0.7,1.5,1.7,2.6,13,5.31,9.9,5.31,9.9,0,0,4.86,8.2,9.54,0.99,0.81,1.8,1.98,3.15,17.3,8,13.3,0.599,8,13.3,0.601,0,0,0,7.2,11.1,0.653,14.3,1.5,1.2,2.7,3,4.6,23.2,123.6,95.7,1145,22,0.624,0.599,0.004,0.831,489,11.2,17.2,14.2,4.7,1.2,4.9,13.9,18.5,3.3,2.3,5.6,0.196,4.2,5.3,9.5,38,"http://www.sports-reference.com/cbb/schools/kentucky/2017.html","http://www.sports-reference.com/cbb/conferences/sec/2017.html",2017
"Ike Anigbogu",18.6,"Forward","2016-17",13,2,3.5,2,3.5,0,0,0.8,1.5,4,0.2,0.2,1.2,0.8,2.5,4.7,5.4,10.7,5.4,10.7,0,0,2.16,4.6,11.16,0.54,0.45,3.33,2.25,6.84,14.5,8.1,14.4,0.564,8.1,14.4,0.564,0,0,NA,3.3,6.1,0.535,16.7,0.9,0.7,5,3.4,10.3,19.6,109,98.4,377,17.1,0.564,0.564,0,0.426,139,13.2,19.9,16.9,2.3,0.7,8.8,16.5,18.4,0.6,0.7,1.3,0.133,-0.8,3.5,2.7,29,"http://www.sports-reference.com/cbb/schools/ucla/2017.html","http://www.sports-reference.com/cbb/conferences/pac-12/2017.html",2017
"Tyler Lydon",21.1,"Forward","2015-16",30.3,3.4,7.2,2.1,3.9,1.3,3.3,1.9,2.5,6.3,1.1,1.1,1.8,1.3,2.7,10.1,4.05,9.4,2.52,5.1,1.53,4.3,2.34,3.3,7.47,1.35,1.35,2.16,1.53,3.24,13.4,7,14.5,0.479,4.3,7.9,0.542,2.7,6.6,0.405,4,5.1,0.774,12.8,2.2,2.3,3.7,2.6,5.5,20.6,120.8,96.7,1122,20.2,0.606,0.572,0.457,0.351,351,6.6,16.5,11.6,7.6,2.3,7,13.2,16.6,2.5,2.2,4.7,0.168,3.3,6.4,9.7,37,"http://www.sports-reference.com/cbb/schools/syracuse/2016.html","http://www.sports-reference.com/cbb/conferences/acc/2016.html",2016
