"link","Player","VORP","G","MP","draftYear","Amateur","DraftAge","Position","season","mp_per_g","fg_per_g","fga_per_g","fg2_per_g","fg2a_per_g","fg3_per_g","fg3a_per_g","ft_per_g","fta_per_g","orb_per_g","drb_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","tov_per_g","pf_per_g","pts_per_g","sos-dum","sos","fg_per_min","fga_per_min","fg2_per_min","fg2a_per_min","fg3_per_min","fg3a_per_min","ft_per_min","fta_per_min","trb_per_min","ast_per_min","stl_per_min","blk_per_min","tov_per_min","pf_per_min","pts_per_min","fg_per_poss","fga_per_poss","fg_pct","fg2_per_poss","fg2a_per_poss","fg2_pct","fg3_per_poss","fg3a_per_poss","fg3_pct","ft_per_poss","fta_per_poss","ft_pct","trb_per_poss","ast_per_poss","stl_per_poss","blk_per_poss","tov_per_poss","pf_per_poss","pts_per_poss","poss-dum","off_rtg","def_rtg","mp","per","ts_pct","efg_pct","fg3a_per_fga_pct","fta_per_fga_pct","pprod","orb_pct","drb_pct","trb_pct","ast_pct","stl_pct","blk_pct","tov_pct","usg_pct","ws-dum","ows","dws","ws","ws_per_40","bpm-dum","obpm","dbpm","bpm","games","school_link","conf_link","Year"
"https://www.basketball-reference.com/players/d/duncati01.html","Tim Duncan",89.3,"1392","47368",1997,"College",21.1013698630137,"Power Forward and Center","1994-95",11,0.591,6.4,0.594,0.1,0.429,3.7,0.742,NA,12.5,2.1,0.4,4.2,2.8,2.4,16.8,32,32,37.2,7.1,7.1,10.89,7,10.62,0.1,0.18,4,4.86,12.33,2.07,0.36,4.14,2.79,2.7,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.628,0.595,0.02,0.452,NA,NA,NA,NA,NA,NA,NA,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.5,"http://www.sports-reference.com/cbb/schools/wake-forest/1995.html","http://www.sports-reference.com/cbb/conferences/acc/1995.html",1995
"https://www.basketball-reference.com/players/d/duncati01.html","Tim Duncan",89.3,"1392","47368",1997,"College",21.1013698630137,"Power Forward and Center","1995-96",6.9,12.1,0.57,0.7,0.304,6.8,0.687,NA,12.3,0.7,3.8,3.3,2.3,19.1,31,NA,36.7,7.5,12.4,0.608,7.7,12.42,7.4,11.7,0.2,0.72,5,6.57,11.97,2.79,0.63,3.6,3.15,2.5,20.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.595,0.563,0.056,0.528,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,4.3,3.5,7.8,0.262,NA,NA,NA,NA,12.8,"http://www.sports-reference.com/cbb/schools/wake-forest/1996.html","http://www.sports-reference.com/cbb/conferences/acc/1996.html",1996
"https://www.basketball-reference.com/players/d/duncati01.html","Tim Duncan",89.3,"1392","47368",1997,"College",21.1013698630137,"Power Forward and Center","1996-97",0.628,0.2,0.7,5.5,8.7,NA,NA,3.2,0.7,3.2,2.2,20.8,NA,7.84,NA,10.83,NA,10.73,NA,10.53,8.2,12.15,8,11.52,0.2,0.72,6,8.55,14.49,3.06,0.72,3.24,3.15,2.4,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.629,0.616,0.057,0.699,NA,NA,NA,NA,NA,NA,NA,16.2,NA,NA,5.5,4.9,10.4,0.367,NA,NA,NA,NA,7.4,"http://www.sports-reference.com/cbb/schools/wake-forest/1997.html","http://www.sports-reference.com/cbb/conferences/acc/1997.html",1997
"https://www.basketball-reference.com/players/r/robinda01.html","David Robinson",80.9,"987","34271",1987,"College",21.1808219178082,"Center","1983-84",13.3,3.1,4.9,NA,NA,NA,NA,1.5,2.6,NA,NA,4,0.2,0.3,1.3,1.1,2.9,7.6,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.623,NA,NA,NA,NA,NA,NA,NA,NA,0.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372,NA,0.62,NA,NA,0.529,NA,NA,NA,NA,NA,NA,NA,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,"http://www.sports-reference.com/cbb/schools/navy/1984.html","http://www.sports-reference.com/cbb/conferences/ecac-south/1984.html",1984
"https://www.basketball-reference.com/players/r/robinda01.html","David Robinson",80.9,"987","34271",1987,"College",21.1808219178082,"Center","1984-85",14.7,0.644,NA,NA,NA,NA,4.8,0.626,NA,11.6,0.6,0.8,4,2.3,2.6,23.6,35,35,33.9,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1075,NA,0.647,NA,NA,0.518,NA,NA,NA,NA,NA,NA,NA,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.6,"http://www.sports-reference.com/cbb/schools/navy/1985.html","http://www.sports-reference.com/cbb/conferences/ecac-south/1985.html",1985
"https://www.basketball-reference.com/players/r/robinda01.html","David Robinson",80.9,"987","34271",1987,"College",21.1808219178082,"Center","1985-86",NA,NA,NA,NA,NA,9.5,0.628,NA,13,1.7,5.9,2.5,2.9,22.7,32,32,34.6,10.9,18.5,0.591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1187,NA,0.621,NA,NA,0.684,NA,NA,NA,NA,NA,NA,NA,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,"http://www.sports-reference.com/cbb/schools/navy/1986.html","http://www.sports-reference.com/cbb/conferences/colonial/1986.html",1986
"https://www.basketball-reference.com/players/r/robinda01.html","David Robinson",80.9,"987","34271",1987,"College",21.1808219178082,"Center","1986-87",0.591,0,0,6.3,9.9,NA,NA,1,2.1,2.2,2.7,28.2,NA,-4.35,NA,-3.8,NA,1.29,NA,-1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.637,NA,NA,11.8,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1107,NA,0.608,0.592,0.002,0.535,NA,NA,NA,NA,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9,"http://www.sports-reference.com/cbb/schools/navy/1987.html","http://www.sports-reference.com/cbb/conferences/colonial/1987.html",1987
"https://www.basketball-reference.com/players/k/kiddja01.html","Jason Kidd",78.2,"1391","50111",1994,"College",21.1917808219178,"Point Guard and Shooting Guard","1992-93",31.8,4.6,9.9,3.8,7,0.8,2.9,3,4.6,NA,NA,4.9,7.7,3.8,0.3,3.9,2.5,13,30,NA,5.8,11.25,4.7,7.92,1,3.24,3.8,5.22,5.58,8.64,4.32,0.27,4.41,3.1,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.539,0.505,0.293,0.467,NA,NA,NA,NA,NA,NA,NA,24.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,"http://www.sports-reference.com/cbb/schools/california/1993.html","http://www.sports-reference.com/cbb/conferences/pac-10/1993.html",1993
"https://www.basketball-reference.com/players/k/kiddja01.html","Jason Kidd",78.2,"1391","50111",1994,"College",21.1917808219178,"Point Guard and Shooting Guard","1993-94",11.7,0.472,3.8,0.545,1.7,0.362,3.9,0.692,NA,6.9,9.1,3.1,0.3,4.3,2.6,16.7,NA,7.26,NA,7.14,6.3,12.06,4.4,7.2,1.9,4.86,4.4,5.76,7.11,9.27,3.24,0.27,4.41,3,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.578,0.544,0.401,0.48,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.1,"http://www.sports-reference.com/cbb/schools/california/1994.html","http://www.sports-reference.com/cbb/conferences/pac-10/1994.html",1994
"https://www.basketball-reference.com/players/o/olajuha01.html","Hakeem Olajuwon",77.1,"1238","44222",1984,"College",21.3616438356164,"Center","1981-82",18.2,3.1,5.2,NA,NA,NA,NA,2,3.6,NA,NA,6.2,0.4,0.9,2.5,1.4,2.9,8.3,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.607,NA,NA,NA,NA,NA,NA,NA,NA,0.563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,529,NA,0.603,NA,NA,0.687,NA,NA,NA,NA,NA,NA,NA,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,"http://www.sports-reference.com/cbb/schools/houston/1982.html","http://www.sports-reference.com/cbb/conferences/swc/1982.html",1982
