"Player","VORP","G","GS","MP","draftYear","link"
"Karl-Anthony Towns",4.1,"109","109","3582",2015,"http://www.basketball-reference.com/players/t/townska01.html"
"Kristaps Porzingis",1.8,"99","99","2982",2015,"http://www.basketball-reference.com/players/p/porzikr01.html"
"Willie Cauley-Stein",0.9,"89","39","1704",2015,"http://www.basketball-reference.com/players/c/caulewi01.html"
"Myles Turner",0.9,"88","58","2188",2015,"http://www.basketball-reference.com/players/t/turnemy01.html"
"Larry Nance Jr.",0.8,"90","22","1873",2015,"http://www.basketball-reference.com/players/n/nancela02.html"
"Josh Richardson",0.8,"70","12","1622",2015,"http://www.basketball-reference.com/players/r/richajo01.html"
"Norman Powell",0.7,"72","29","1058",2015,"http://www.basketball-reference.com/players/p/powelno01.html"
"Justise Winslow",0.7,"90","17","2637",2015,"http://www.basketball-reference.com/players/w/winslju01.html"
"Richaun Holmes",0.5,"72","3","1039",2015,"http://www.basketball-reference.com/players/h/holmeri01.html"
"Frank Kaminsky",0.5,"107","9","2366",2015,"http://www.basketball-reference.com/players/k/kaminfr01.html"
"Sam Dekker",0.4,"31","0","532",2015,"http://www.basketball-reference.com/players/d/dekkesa01.html"
"Rondae Hollis-Jefferson",0.4,"52","31","1131",2015,"http://www.basketball-reference.com/players/h/holliro01.html"
"D'Angelo Russell",0.3,"97","65","2693",2015,"http://www.basketball-reference.com/players/r/russeda01.html"
"Kevon Looney",0.2,"29","2","231",2015,"http://www.basketball-reference.com/players/l/looneke01.html"
"Montrezl Harrell",0.1,"58","1","634",2015,"http://www.basketball-reference.com/players/h/harremo01.html"
"Willy Hernangomez",0.1,"22","0","318",2015,"http://www.basketball-reference.com/players/h/hernawi01.html"
"Cameron Payne",0.1,"57","1","698",2015,"http://www.basketball-reference.com/players/p/payneca01.html"
"Delon Wright",0.1,"27","1","229",2015,"http://www.basketball-reference.com/players/w/wrighde01.html"
"Justin Anderson",0,"82","11","1147",2015,"http://www.basketball-reference.com/players/a/anderju01.html"
"Rakeem Christmas",0,"4","0","20",2015,"http://www.basketball-reference.com/players/c/chrisra01.html"
"Branden Dawson",0,"6","0","29",2015,"http://www.basketball-reference.com/players/d/dawsobr01.html"
"Andrew Harrison",0,"28","12","757",2015,"http://www.basketball-reference.com/players/h/harrian01.html"
"Chris McCullough",0,"33","4","411",2015,"http://www.basketball-reference.com/players/m/mcculch01.html"
"R.J. Hunter",-0.1,"39","0","324",2015,"http://www.basketball-reference.com/players/h/hunterj01.html"
"Stanley Johnson",-0.1,"99","6","2057",2015,"http://www.basketball-reference.com/players/j/johnsst04.html"
